SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
St Margaret's RC Primary School,"Station Road, South Queensferry",EH30 9JY,Primary,RC Primary,RC,,,N/A,West,Almond,1,N/A,West,5518121,331 1895,331 5493,none,313497,678047
St Mark's RC Primary School,"63 Firrhill Crescent, Edinburgh",EH13 9EE,Primary,RC Primary,RC,YES,,N/A,South West,Colinton/Fairmilehead,8,Oxgangs,Pentlands,5530024,441 2948,441 7601,www.stmarksprimary.ik.org,323212,669361
St Mary's RC Primary School (Edin),"63 East London Street, Edinburgh",EH7 4BW,Primary,RC Primary,RC,,,N/A,North,City Centre,11,N/A,North and Leith,5530121,556 7128,557 2455,www.stmarysrc-primary.ik.org,325970,674706
St Mary's RC Primary School (Leith),"30 Links Gardens, Leith, Edinburgh",EH6 7JG,Primary,RC Primary,RC,YES,,N/A,North,Leith,13,Leith,North and Leith,5530229,554 7291,554 8523,www.stmarysleith.ik.org,327710,676010
St Ninian's RC Primary School (Edin),"150 Restalrig Road South, Edinburgh",EH7 6JA,Primary,RC Primary,RC,YES,,N/A,North,Craigentinny/Duddingston,14,Restalrig,East,5530326,661 3431,652 1458,www.st-ninians.btik.com,328267,674786
St Peter's RC Primary School,"10 Falcon Road, Edinburgh",EH10 4AH,Primary,RC Primary,RC,YES,,N/A,South,Meadows/Morningside,10,N/A,Central,5530520,447 5742,446 3674,www.st-peters.edin.sch.uk,324840,671357
Stenhouse Primary School,"4 Saughton Mains Street, Edinburgh",EH11 3HH,Primary,ND Primary,ND,YES,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5529026,443 1255,467 7792,www.stenhouse.edin.sch.uk,321200,671580
Stockbridge Primary School,"17a Hamilton Place, Edinburgh",EH3 5BA,Primary,ND Primary,ND,YES,,N/A,North,Inverleith,5,N/A,North and Leith,5529123,332 6109,332 6109,www.stockbridge.edin.sch.uk,324690,674700
The Royal High Primary School,"61 Northfield Broadway, Edinburgh",EH8 7RX,Primary,ND Primary,ND,YES,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5528321,669 3200,669 1552,www.royalhigh-pri.edin.sch.uk,328920,673980
Tollcross Primary School,"117 Fountainbridge, Edinburgh",EH3 9QG,Primary,ND Primary,ND,YES,,N/A,South,Fountainbridge/Craiglockhart,9,N/A,Central,5530628,229 7828,229 5838,www.tollcrossprimary.ik.org,324752,672904
Towerbank Primary School,"Figgate Bank, Edinburgh",EH15 1HX,Primary,ND Primary,ND,YES,,N/A,East,Portobello/Craigmillar,17,N/A,East,5530725,669 1551,657 3907,www.towerbank.ik.org,330610,674100
Towerbank Primary School Annexe,"Portobello, Edinburgh",EH15 1EZ,Primary,NDPS Annexe,ND,YES,YES,N/A,East,Portobello/Craigmillar,17,N/A,East,5530725,657 2607,657 3907,www.towerbank.ik.org,330591,673917
Trinity Primary School,"181 Newhaven Road, Edinburgh",EH6 4QA,Primary,ND Primary,ND,,,N/A,North,Forth,4,N/A,North and Leith,5530822,554 2062,553 4607,www.trinity-pri.edin.sch.uk,325630,676570
Victoria Primary School,"4-6 Newhaven Main Street, Edinburgh",EH6 4HY,Primary,ND Primary,ND,,,N/A,North,Leith,13,N/A,North and Leith,5531020,476 7306,466 7278,www.victoriaprimary.ik.org,325672,677036
Wardie Primary School,"Granton Road, Edinburgh",EH5 3NJ,Primary,ND Primary,ND,,,N/A,North,Forth,4,N/A,North and Leith,5531128,552 3896,551 6596,www.wardie.ik.org,324341,676477
Balerno Community High School,"5 Bridge Road, Balerno",EH14 7AQ,Secondary,ND Secondary,ND,,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5541638,477 7788,477 7707,www.balernochs.edin.sch.uk,316391,666780
Boroughmuir High School,"36 Viewforth, Edinburgh",EH10 4LR,Secondary,ND Secondary,ND,,,N/A,South,Meadows/Morningside,10,N/A,Central,5531438,229 9703,228 9185,www.boroughmuir.edin.sch.uk,324540,672380
Boroughmuir High School Annexe (St Oswald's Hall),"Montpelier Park, Edinburgh",EH10 4NB,Secondary,NDSS Annexe,ND,,YES,N/A,South,Meadows/Morningside,10,N/A,South,5531438,,,www.boroughmuir.edin.sch.uk,324436,672211
Broughton High School,"1 Carrington Road, Edinburgh",EH4 1EG,Secondary,ND Secondary,ND,,,N/A,North,Inverleith,5,N/A,Central,5531632,332 7805,343 3296,www.broughton.edin.sch.uk,323788,674815
Castlebrae High School,"2A Greendykes Road, Edinburgh",EH16 4DP,Secondary,ND Secondary,ND,,,N/A,East,Portobello/Craigmillar,17,Craigmillar,East,5531934,661 1282,661 4049,www.castlebrae.edin.sch.uk,329296,671323
Craigmount High School,"59 Craigs Road, Edinburgh",EH12 8NH,Secondary,ND Secondary,ND,,,N/A,West,Drum Brae/Gyle,3,N/A,West,5532132,339 6823,467 7285,www.craigmount.edin.sch.uk,318605,673238
Craigroyston Community High School,"67 Pennywell Road, Edinburgh",EH4 4NL,Secondary,ND Secondary,ND,,,N/A,North,Forth,4,North Edinburgh,West,5532434,477 7801,477 7805,none,321827,676319
Currie High School,"31 Dolphin Avenue, Currie",EH14 5RD,Secondary,ND Secondary,ND,,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5540739,449 2165,451 5854,www.currie.edin.sch.uk,317490,667850
Drummond Community High School,"41 Bellevue Place, Edinburgh",EH7 4BS,Secondary,ND Secondary,ND,,,N/A,North,Leith Walk,12,N/A,North and Leith,5532531,556 2651,467 7270,www.drummond.edin.sch.uk,325820,674810
Firrhill High School,"9 Oxgangs Road North, Edinburgh",EH14 1DP,Secondary,ND Secondary,ND,,,N/A,South West,Fountainbridge/Craiglockhart,9,N/A,Pentlands,5532639,441 4501,441 1036,www.firrhill.edin.sch.uk,322817,669783
Forrester High School,"212 Broomhouse Road, Edinburgh",EH12 9AE,Secondary,ND Secondary,ND,,,N/A,West,Drum Brae/Gyle,3,N/A,Pentlands,5532736,334 9262,467 7134,www.forrester.edin.sch.uk,319676,671695
Gracemount High School,"136 Lasswade Road, Edinburgh",EH16 6TZ,Secondary,ND Secondary,ND,,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5532930,664 7440,664 8448,www.gracemount.edin.sch.uk,328087,668488
Holy Rood RC High School,"55 Duddingston Road West, Edinburgh",EH15 3ST,Secondary,RC Secondary,RC,,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5533031,661 5871,659 5868,www.holyrood.edin.sch.uk,328655,672543
James Gillespie's High School,"57 Lauderdale Street, Edinburgh",EH9 1DD,Secondary,ND Secondary,ND,,,N/A,South,Meadows/Morningside,10,N/A,South,5533139,447 1900,466 7035,www.jamesgillespies.edin.sch.uk,325136,672163
Leith Academy,"20 Academy Park, Edinburgh",EH6 8JQ,Secondary,ND Secondary,ND,,,N/A,North,Leith,13,N/A,East,5533236,554 0606,555 2698,www.leith.edin.sch.uk,327271,675536
Liberton High School,"328 Gilmerton Road, Edinburgh",EH17 7PT,Secondary,ND Secondary,ND,,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5533430,664 7514,467 7173,www.liberton.edin.sch.uk,328040,669560
Portobello High School,"10 Duddingston Road, Edinburgh",EH15 1NF,Secondary,ND Secondary,ND,,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5533538,669 2324,669 0975,www.portobello.edin.sch.uk,329853,673394
Queensferry High School,"Ashburnham Road, South Queensferry",EH30 9JN,Secondary,ND Secondary,ND,,,N/A,West,Almond,1,N/A,West,5518334,331 1944,319 3201,www.queensferryhigh.co.uk,313700,677839
St Augustine's RC High School,"208 Broomhouse Road, Edinburgh",EH12 9AD,Secondary,RC Secondary,RC,,,N/A,West,Drum Brae/Gyle,3,N/A,Pentlands,5534038,334 6801,334 7329,www.st-augustines.edin.sch.uk,319487,671851
St Thomas of Aquin's RC High School,"2-20 Chalmers Street, Edinburgh",EH3 9ES,Secondary,RC Secondary,RC,,,N/A,South,Meadows/Morningside,10,N/A,Central,5534232,229 8734,622 7136,www.stthomasofaquins.edin.sch.uk,325292,672943
The Royal High Secondary School,"East Barnton Avenue, Edinburgh",EH4 6JP,Secondary,ND Secondary,ND,,,N/A,West,Almond,1,N/A,West,5533732,336 2261,312 8592,www.royalhigh.edin.sch.uk,319922,675292
Trinity Academy,"Craighall Avenue, Edinburgh",EH6 4RT,Secondary,ND Secondary,ND,,,N/A,North,Forth,4,N/A,North and Leith,5534534,478 5050,478 5055,www.trinity.edin.sch.uk,325500,676590
Tynecastle High School,"17-19 McLeod Street, Edinburgh",EH11 2NJ,Secondary,ND Secondary,ND,,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5534631,337 3488,337 3915,www.tynecastle.edin.sch.uk,323140,672560
Wester Hailes Education Centre,"5 Murrayburn Drive, Edinburgh",EH14 2SU,Secondary,ND Secondary,ND,,,N/A,South West,Sighthill/Gorgie,7,Wester Hailes,Pentlands,5533937,442 2201,458 3348,www.whec.edin.sch.uk,319438,670148
Braidburn School,107 Oxgangs Road North,EH14 1ED,Special,,N/A,YES,,N/A,South West,Fountainbridge/Craiglockhart,9,N/A,Pentlands,5530040,312 2320,441 5065,none,322903,669608
ESS - Howdenhall (Children's Unit),"39 Howdenhall Road, Edinburgh",EH16 6PG,Special,Secure Unit,N/A,,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5536847,664 8488,664 3549,none,327281,668446
