SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
St Leonard's Nursery School,"North Richmond Street, Edinburgh",EH8 9SY,EY&N,Nursery,N/A,,,N/A,South,Southside/Newington,15,Southside,Central,5520517,667 4674,,none,326220,673280
Sighthill C&FC,"12 Calder Gardens, Edinburgh",EH11 4JD,EY&N,C&FC,N/A,,,,,,,,,,442 2018,442 3404,,319053,670366
Stanwell Nursery School,"Junction Place, Edinburgh",EH6 5JA,EY&N,Nursery,N/A,,,N/A,North,Leith,13,Leith,North and Leith,5520614,554 1309,,www.stanwell.edin.sch.uk,326788,676070
Stenhouse C&FC,"43 Fords Road, Edinburgh",EH11 3HS,EY&N,C&FC,N/A,,,,,,,,,,443 1207,443 9730,,321805,671674
The Spinney Lane Nursery School,"13a The Spinney, Edinburgh",EH17 7LD,EY&N,Nursery,N/A,,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5541115,664 9102,,none,328969,668951
Tynecastle Nursery School,"15 McLeod Street, Edinburgh",EH11 2NJ,EY&N,Nursery,N/A,,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5520711,337 5461,,none,323180,672528
Victoria Park C&FC,"159 Newhaven Road, Edinburgh",EH6 4QA,EY&N,C&FC,N/A,,,,,,,,,,554 4077,555 3630,,325663,676532
Viewforth C&FC,"18 Viewforth Terrace, Edinburgh",EH10 4LH,EY&N,C&FC,N/A,,,,,,,,,,229 6667,229 1434,,324400,672376
West Pilton C&FC,"33 Ferry Road Drive, Edinburgh",EH4 4DB,EY&N,C&FC,N/A,,,,,,,,,,332 3855,315 3194,,322462,676089
Westfield Court Nursery School,"7 Westfield Court, Edinburgh",EH11 2RJ,EY&N,Nursery,N/A,,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5520819,337 4914,,none,322470,672230
