Organisation,Appointments
"Lothian Homes Trust - Directors","Councillor Balfour (Conservative)
Councillor Day (Labour)
Councillor Key (Scottish National Party)
Vacancy"
"Lowland Reserve Forces' and Cadets' Association","Councillor Bridgman (Scottish National Party)"
"Marketing Edinburgh - Director","Councillor Buchanan (Scottish National Party)"
"Merchant Company - Endowment Trust","Councillor Aitken (Conservative)
Councillor Ricky Henderson (Labour)
Councillor Key (Scottish National Party)
Councillor McInnes (Conservative)
Councillor Ross (Scottish National Party)"
"NHS Lothian - Board","Councillor Ricky Henderson (Labour)"
"Nuclear Free Local Authorities - Scotland","Councillor Gardner (Labour)"
"Nuclear Free Local Authorities - UK and Ireland","Councillor Gardner (Labour)"
"One City Limited","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Councillor Day (Labour)
Councillor Rankin (Scottish National Party)"
"Pacific Shelf 825 Limited","Councillor Perry (Labour)"
"PARC Craigmillar (Promoting and Regenerating Craigmillar)","Councillor Bridgman (Scottish National Party)
Councillor Munro (Labour)
Director of Services for Communities (or nominee)
Director of City Development (or nominee)
Chief Executive (or nominee)"
"Pentland Hills Regional Park Consultative Forum","Councillor Bill Henderson (Scottish National Party)
Councillor Walker (Labour)"
"Pentland Hills Regional Park Joint Committee","Councillor Bill Henderson (Scottish National Party)
Councillor Heslop (Conservative)
Councillor Walker (Labour)"
"Pilton Central Association/ West Pilton Neighbourhood Centre - observer","Councillor Cardownie (Scottish National Party)"
"Police Aided Clothing Scheme","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Councillor Rose (Conservative)
Director of Corporate Governance (Honorary Auditor)"
"Princes Trust","Councillor Godzik (Labour)"
"Queen's Hall (Edinburgh) Ltd - Director","Councillor Austin Hart (Labour)"
"Rosyth Local Liaison Committee","Councillor Child (Labour)
Councillor Paterson (Conservative)
Councillor Shields ( Scottish Liberal Democrats)
Councillor Work (Scottish National Party)"
"Royal Blind - Director","Councillor Godzik (Labour)"
"Royal College of Surgeons of Edinburgh - Lay Advisers Group","Councillor Ricky Henderson (Labour)"
