"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"Brunstane Road",Joppa,"Brunstane Lane","Joppa Road",62.78,2,Blackford_202
"Brunstane Road",Joppa,"Joppa Station Place","Joppa Grove",42.48,2,Blackford_202
"Brunstane Road",Joppa,"Argyle Crescent","Brunstane Lane",90.71,2,Blackford_202
"Brunstane Road",Joppa,"Joppa Grove","Argyle Crescent",50.64,2,Blackford_202
"Brunstane Road",Joppa,"Brunstane Gardens","Joppa Station Place",121,2,Blackford_202
"Brunstane Road",Joppa,"Milton Road East","Brunstane Gardens",243.2,2,Blackford_202
"Brunswick Place",Broughton,"Albert Place","Brunswick Road",47.1,1,Barnton_004
"Brunswick Place",Broughton,"Brunswick Road","Brunswick Street",40.8,1,Barnton_004
"Brunswick Road",Broughton,Dicksonfield,"West Montgomery Place",108.7,1,Blackford_006
"Brunswick Road",Broughton,"Mcdonald Road",Dicksonfield,72.78,1,Blackford_006
"Brunswick Road",Broughton,"Elgin Terrace","Easter Road",75.66,1,Blackford_006
"Brunswick Road",Broughton,Allanfield,"Elgin Terrace",165.5,1,Blackford_006
"Brunswick Road",Broughton,"Brunswick Road",Allanfield,92.11,1,Blackford_006
"Brunswick Road",Broughton,"West Montgomery Place","Brunswick Road",155,1,Blackford_006
"Brunton Gardens",Broughton,"Wellington Street","Brunton Terrace",144.9,2,Blackford_202
"Brunton Place",Broughton,"Brunton Terrace","Brunton Place",73.17,1,Blackford_002
"Brunton Place",Broughton,"Brunton Place","Easter Road",35.06,1,Blackford_002
"Brunton Place",Broughton,"Hillside Crescent","Brunton Terrace",110.2,1,Blackford_002
"Bruntsfield Avenue",Bruntsfield,"Bruntsfield Place",Montpelier,130.7,1,Bankhead_008
"Bruntsfield Place",Bruntsfield,"Morningside Road","Chamberlain Road",28.07,1,Bankhead_007
"Bruntsfield Place",Bruntsfield,"Bruntsfield Terrace","Forbes Road",70.19,1,Blackford_002
"Bruntsfield Place",Bruntsfield,"Merchiston Place","Forbes Road",164.6,1,Bankhead_007
"Bruntsfield Place",Bruntsfield,"Chamberlain Road","Merchiston Place",166.4,1,Bankhead_007
"Bruntsfield Place",Bruntsfield,"Gillespie Crescent","Barclay Terrace",101.2,1,Blackford_002
"Bruntsfield Place",Bruntsfield,"Barclay Terrace","Leamington Terrace",241.5,1,Blackford_002
"Bruntsfield Place",Bruntsfield,"Leamington Terrace","Bruntsfield Terrace",86.28,2,Bankhead_202
"Bruntsfield Terrace",Bruntsfield,"Greenhill Gardens","Bruntsfield Place",119.6,2,Bankhead_202
"Bryce Road",Riccarton/muirwood,"Thomson Road","Lanark Road West",99.01,1,Bankhead_002
"Bryce Road",Riccarton/muirwood,"Thomson Road","Muir Wood Road",221.8,1,Bankhead_002
"Bryce Road",Riccarton/muirwood,"Muir Wood Road","Corslet Place",55.55,1,Bankhead_002
"Bryce Road",Riccarton/muirwood,"Riccarton Mains Road","Corslet Place",105.5,1,Bankhead_002
"Bryson Road",Polwarth,"Tay Street","Walnut Grove",90.2,1,Bankhead_008
"Bryson Road",Polwarth,"Walnut Grove","Ritchie Place",60.96,1,Bankhead_008
"Bryson Road",Polwarth,"Tay Street","Fowler Terrace",115.4,1,Bankhead_008
"Buccleuch Street",Newington,"Gifford Park","Buccleuch Terrace",67.52,1,Barnton_009
"Buccleuch Street",Newington,Boroughloch,"Gifford Park",47.63,1,Barnton_009
"Buccleuch Street",Newington,"Meadow Lane",Boroughloch,37,1,Barnton_009
"Buccleuch Street",Newington,"Buccleuch Place","Meadow Lane",83.25,1,Barnton_009
"Buccleuch Street",Newington,"West Crosscauseway","Buccleuch Place",65.54,1,Barnton_009
"Buccleuch Street",Newington,"West Crosscauseway","West Crosscauseway",25,1,Barnton_009
"Buckstone Circle",Buckstone,"Buckstone Loan East","Buckstone Loan",93.37,1,Bankhead_014
"Buckstone Crescent",,"Buckstone Bank","Buckstone Hill",166.3,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Way","Buckstone Bank",67.28,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Drive","Buckstone Way",110.1,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Hill","Buckstone Row",72.29,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Row","Buckstone Neuk",125.3,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Neuk","Buckstone Loan East",56.65,2,Bankhead_201
"Buckstone Crescent",,"Buckstone Loan East","Buckstone Road",37.07,2,Bankhead_201
"Buckstone Drive",Buckstone,"Buckstone View","Buckstone Dell",61.8,2,Bankhead_201
"Buckstone Drive",Buckstone,"Buckstone Dell","Buckstone Crescent",73.62,2,Bankhead_201
"Buckstone Drive",Buckstone,"Braid Road","Buckstone View",92.75,2,Bankhead_201
"Buckstone Gardens",Buckstone,"Buckstone Road","Buckstone Terrace",250.7,1,Bankhead_014
"Buckstone Gate",Buckstone,"Buckstone Road","Buckstone Loan East",51.01,1,Bankhead_014
"Buckstone Loan",,"Buckstone Road","Buckstone Green",215.9,1,Bankhead_014
"Buckstone Loan",,"Buckstone Green","Buckstone Gate",56.22,1,Bankhead_014
"Buckstone Loan",,"Buckstone Close","Buckstone Gate",185.7,1,Bankhead_014
"Buckstone Loan",,"Buckstone Circle","Buckstone Close",57.01,1,Bankhead_014
"Buckstone Loan East",Buckstone,"Buckstone Gate","Buckstone Close",43.41,1,Bankhead_014
"Buckstone Loan East",Buckstone,"Buckstone Close","Buckstone Circle",56.18,1,Bankhead_014
"Buckstone Road",,"Buckstone Court","Buckstone Loan",80.39,1,Bankhead_014
"Buckstone Road",,"Buckstone Rise","Buckstone Court",63.18,1,Bankhead_014
"Buckstone Road",,"Buckstone Loan","Buckstone Place",48.65,1,Bankhead_014
"Buckstone Road",,"Buckstone Place","Buckstone Wood",40.35,1,Bankhead_014
"Buckstone Road",,"Buckstone Wood","Buckstone Avenue",49.71,1,Bankhead_014
"Buckstone Road",,"Buckstone Avenue","Buckstone Road",78.67,1,Bankhead_014
"Buckstone Road",,"Buckstone Road","Buckstone Terrace",114.5,1,Bankhead_014
"Buckstone Road",,"Buckstone Crescent","Buckstone Rise",121.3,1,Bankhead_014
"Buckstone Road",,"Buckstone Road","Buckstone Crescent",84.7,1,Bankhead_014
"Buckstone Road",,"Buckstone Gate","Buckstone Road",89.2,1,Bankhead_014
"Buckstone Terrace",Buckstone,"Buckstone Terrace","Pentland Terrace",21,1,Blackford_008
"Buckstone Terrace",Buckstone,"Pentland Terrace","Braid Road",92.46,1,Blackford_008
"Buckstone Terrace",Buckstone,"Biggar Road","Buckstone Terrace",158.8,1,Blackford_002
"Buckstone Terrace",Buckstone,"Buckstone Terrace","Caiystane Crescent",227.6,1,Blackford_002
"Buckstone Terrace",Buckstone,"Caiystane Crescent","Buckstone Road",174,1,Blackford_002
"Buckstone Terrace",Buckstone,"Buckstone Road","Buckstone Gardens",113.6,1,Blackford_002
"Buckstone Terrace",Buckstone,"Buckstone Gardens","Pentland Terrace",160,1,Blackford_002
"Builyeon Road","South Queensferry","Bo'ness Road","Bo'ness Road",151.1,1,Barnton_003
"Builyeon Road","South Queensferry",Echline,"Bo'ness Road",267.9,1,Barnton_003
"Builyeon Road","South Queensferry","Builyeon Road",Echline,390.5,1,Barnton_003
"Builyeon Road","South Queensferry","Builyeon Road","A8000 - Kirkliston to South Queensferry",321.3,1,Barnton_003
"Burdiehouse Crescent",Burdiehouse,"Southhouse Road","Burdiehouse Street",227.6,1,Blackford_011
"Burdiehouse Drive",Burdiehouse,"Southhouse Broadway","Burdiehouse Street",237.7,2,Blackford_201
"Burdiehouse Road",Burdiehouse,"Burdiehouse Road","Burdiehouse Road",44.82,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Straiton Road","Straiton Road",181.8,1,Blackford_001
"Burdiehouse Road",Burdiehouse,Janefield,Janefield,117.6,1,Blackford_001
"Burdiehouse Road",Burdiehouse,Janefield,Janefield,115.1,1,Blackford_001
"Burdiehouse Road",Burdiehouse,Janefield,"Burdiehouse Road",118.6,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Burdiehouse Road",Janefield,116.5,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Burdiehouse Road","Southhouse Broadway",74.33,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Southhouse Broadway","Burdiehouse Road",74.45,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Southhouse Broadway","Burdiehouse Square",270.2,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Burdiehouse Square","Southhouse Broadway",276.1,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Burdiehouse Square","Lang Loan",287,1,Blackford_001
"Burdiehouse Road",Burdiehouse,"Burdiehouse Road","Burdiehouse Square",283,1,Blackford_001
"Burdiehouse Road",Burdiehouse,Janefield,"Howden Hall Road",231.5,1,Blackford_001
"Burdiehouse Street",Burdiehouse,"Burdiehouse Crossway","Southhouse Road",140.8,1,Blackford_011
"Burdiehouse Street",Burdiehouse,"Burdiehouse Drive","Burdiehouse Crossway",207.4,2,Blackford_201
"Burgess Road","South Queensferry","Station Road","Kirkliston Road",312.5,1,Barnton_012
"Burnhead Crescent",Gracemount,"Little Road","Gracemount Avenue",42.72,2,Blackford_201
"Burnhead Crescent",Gracemount,"Gracemount Avenue","Burnhead Grove",195.6,2,Blackford_201
"Burnhead Crescent",Gracemount,"Burnhead Loan","Gracemount Place",47.68,2,Blackford_201
"Burnhead Crescent",Gracemount,"Gracemount Place","Burnhead Grove",102.5,2,Blackford_201
"Burnhead Crescent",Gracemount,"Gracemount Avenue","Burnhead Loan",120.9,2,Blackford_201
"Buteland Road",,"Haughhead Road","End of cul de sac",647.5,1,Farmers_002_Dalmahoy
"Buteland Road",,"Cockburnhill Road","Haughhead Road",1434,1,Farmers_002_Dalmahoy
"C157 - Kirkliston to Burnshot",,"West Craigie Farm Road","C157 - Kirkliston to Burnshot",789,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","C157 - Kirkliston to Burnshot",83.63,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","Hillside Road",69.94,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"Hillside Road","C157 - Kirkliston to Burnshot",333,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"Almondhill Cottages","Boathouse Bridge Road",415.3,1,Barnton_002
"C157 - Kirkliston to Burnshot",,Wheatlands,"Almondhill Cottages",1109,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"Standingstane Road",Wheatlands,446.7,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","Standingstane Road",728.4,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"A90 - Cramond Bridge to Dalmeny","C157 - Kirkliston to Burnshot",452.6,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"A90 - Cramond Bridge to Dalmeny","C157 - Kirkliston to Burnshot",270.5,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","A90 - Cramond Bridge to Dalmeny",272.1,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","West Craigie Farm Road",743.3,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","C157 - Kirkliston to Burnshot",256.8,1,Barnton_002
"C157 - Kirkliston to Burnshot",,"C157 - Kirkliston to Burnshot","A90 - Cramond Bridge to Dalmeny",718.6,1,Barnton_002
"Cadzow Place",Abbeyhill,"London Road","Carlyle Place",62.96,1,Blackford_001
"Cairnmuir Road",Corstorphine,"Kaimes Road","Clermiston Road",301,1,Barnton_006
"Caiystane Crescent",Caiystane,"Fairmile Avenue","Buckstone Terrace",40.8,1,Bankhead_014
"Caiystane Crescent",Caiystane,"Camus Road East","Fairmile Avenue",66.73,1,Bankhead_014
"Caiystane Crescent",Caiystane,"Camus Road East","Camus Road West",83.33,1,Bankhead_014
"Caiystane Crescent",Caiystane,"East Camus Place","Camus Road West",83.43,2,Bankhead_201
"Caiystane Crescent",Caiystane,"East Camus Place","Caiystane Hill",92.69,2,Bankhead_201
"Caiystane Drive",Caiystane,"Caiystane Terrace","Oxgangs Road",113.5,2,Bankhead_201
"Caiystane Gardens",Caiystane,"Oxgangs Brae","Oxgangs Bank",120.9,1,Bankhead_014
"Caiystane Hill",Caiystane,"Caiystane Crescent","Caiystane Terrace",53.17,2,Bankhead_201
"Caiystane Terrace",Caiystane,"Caiystane Avenue","Caiystane Hill",142.2,2,Bankhead_201
"Caiystane Terrace",Caiystane,"Caiystane Terrace","Caiystane Avenue",70.86,2,Bankhead_201
"Caiystane Terrace",Caiystane,"Caiystane Drive","Caiystane Terrace",68.73,2,Bankhead_201
"Calder Crescent",Calders,"Calder Gardens","Calder Grove",146.6,1,Bankhead_006
"Calder Drive",Calders,"Wester Hailes Road","Calder Gardens",144.3,1,Bankhead_006
"Calder Drive",Calders,"Calder Grove","Calder Gardens",124.5,1,Bankhead_006
"Calder Gardens",Calders,"Calder Gardens","Calder Gardens",78.31,1,Bankhead_006
"Calder Gardens",Calders,"Calder Drive","Calder Gardens",116,1,Bankhead_006
"Calder Gardens",Calders,"Calder Gardens","Calder Court",100.4,1,Bankhead_006
"Calder Gardens",Calders,"Calder Court","Calder Park",146.8,1,Bankhead_006
"Calder Gardens",Calders,"Calder Park","Calder View",103.1,1,Bankhead_006
"Calder Gardens",Calders,"Calder View","Calder Gardens",99.32,1,Bankhead_006
"Calder Gardens",Calders,"Calder Gardens","Calder Gardens",199,1,Bankhead_006
"Calder Gardens",Calders,"Calder Gardens","Calder Crescent",73.22,1,Bankhead_006
"Calder Grove",Calders,"Calder Grove","Calder Grove",33.87,1,Bankhead_006
"Calder Grove",Calders,"Murrayburn Drive","Calder Drive",54.96,1,Bankhead_006
"Calder Grove",Calders,"Murrayburn Drive","Calder Grove",148.8,1,Bankhead_006
"Calder Grove",Calders,"Calder Grove","Calder Grove",62.06,1,Bankhead_006
"Calder Grove",Calders,"Calder Grove","Calder Grove",20.08,1,Bankhead_006
"Calder Grove",Calders,"Calder Crescent","Calder Grove",119,1,Bankhead_006
"Calder Park",Calders,"Calder Park","End of cul de sac",77.03,1,Bankhead_013
"Calder Park",Calders,"Calder Gardens","Calder Park",122.1,1,Bankhead_013
"Calder Road",Edinburgh,"Calder Road","End of cul de sac",219.8,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",48.39,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",49.11,1,Bankhead_001
"Calder Road",Edinburgh,"Addiston Farm Road","Calder Road",187.2,1,Bankhead_001
"Calder Road",Edinburgh,"Haggs Farm Road",,89.01,1,Barnton_003
"Calder Road",Edinburgh,"Calder Crescent","Calder Road",72.8,1,Bankhead_001
"Calder Road",Edinburgh,"Dalmahoy Road","Haggs Farm Road",1439,1,Bankhead_001
"Calder Road",Edinburgh,"Dalmahoy Road","Calder Road",496.7,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",466.6,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Addiston Farm Road",576.5,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",454.2,1,Bankhead_001
"Calder Road",Edinburgh,"Hermiston House Road","Calder Road",978.5,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Hermiston House Road",161,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road Gardens","Gorgie Road",153.7,1,Bankhead_006
"Calder Road",Edinburgh,"Calder Road Gardens","Stenhouse Road",146.1,1,Bankhead_006
"Calder Road",Edinburgh,"Calder Road","Calder Road",671.6,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",674.7,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road Gardens",433.6,1,Bankhead_006
"Calder Road",Edinburgh,"Calder Road","Calder Road Gardens",433.1,1,Bankhead_006
"Calder Road",Edinburgh,"Sighthill Avenue","Calder Road",85.69,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Sighthill Avenue",54.11,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",75.17,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","City Of Edinburgh Bypass",117.4,1,Bankhead_001
"Calder Road",Edinburgh,"Sighthill Court","Calder Road",328.9,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",613.9,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",120,1,Bankhead_001
"Calder Road",Edinburgh,"Sighthill Court","Sighthill Court",30.59,1,Bankhead_002
"Calder Road",Edinburgh,"Calder Road","Calder Road",51.69,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","End of cul de sac",33.74,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Sighthill Court",253.3,1,Bankhead_002
"Calder Road",Edinburgh,"Cultins Road","Calder Road",569.5,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",373.2,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",138,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Crescent","Calder Road",128.8,1,Bankhead_001
"Calder Road",Edinburgh,"Cultins Road","Cultins Road",89.15,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",55.99,1,Bankhead_003
"Calder Road",Edinburgh,"Calder Road","Cultins Road",150.2,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",78.65,1,Bankhead_001
"Calder Road",Edinburgh,"City Of Edinburgh Bypass","Calder Road",67.05,1,Bankhead_003
"Calder Road",Edinburgh,"Calder Road","Calder Road",136.2,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",141.9,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",381.9,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",131.8,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Riccarton Mains Road",159.6,1,Bankhead_001
"Calder Road",Edinburgh,"Riccarton Mains Road","Calder Road",212.4,1,Bankhead_001
"Calder Road",Edinburgh,"Calder Road","Calder Road",243.9,1,Bankhead_001
"Calder Road - SR Bankhead Avenue to Bankhead Drive",Bankhead,"Bankhead Place","Bankhead Drive",369.2,1,Bankhead_009
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Terrace","Parkhead Place",218.1,2,Bankhead_202
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Gardens","Parkhead Street",137.5,2,Bankhead_202
"Calder Road - SR Numbers 187 - 385",Parkhead,"Parkhead Place","Parkhead Gardens",142.1,2,Bankhead_202
"Calder Road - SR Numbers 298 - 370",Broomhouse,"Calder Road - SR Numbers 298 - 370","Broomhouse Road",194.8,2,Bankhead_202
"Calder Road - SR Numbers 298 - 370",Broomhouse,"Broomhouse Crescent","Calder Road - SR Numbers 298 - 370",149.9,2,Bankhead_202
"Calton Road","Old Town","New Street","Calton Hill Stairs",145.4,1,Blackford_007
"Calton Road","Old Town","Calton Hill","Waterloo Place",86.29,2,Blackford_202
"Calton Road","Old Town","Lochend Close","Nether Craigwell",60.19,1,Blackford_007
"Calton Road","Old Town","New Street","Waterloo Place",307.4,2,Blackford_202
"Calton Road","Old Town","Nether Craigwell","Abbeyhill Crescent",157.4,1,Blackford_007
"Calton Road","Old Town","Calton Hill Stairs","Lochend Close",147.9,1,Blackford_007
"Calton Road","Old Town","Abbeyhill Crescent",Abbeyhill,26.08,1,Blackford_007
"Calton Road","Old Town","Calton Hill","Leith Street",36.7,2,Blackford_202
"Cameron Crescent",Prestonfield,"Cameron Park","Cameron Toll",157.2,1,Blackford_001
"Cameron House Avenue",Prestonfield,"Prestonfield Road","Peffermill Road",246.2,1,Blackford_013
"Cameron Terrace",Prestonfield,"Peffermill Road","Cameron Toll",90.38,1,Blackford_003
"Cameron Toll",Prestonfield,"Cameron Terrace","End of cul de sac",304.1,1,Blackford_001
"Cammo Gardens",Cammo,"Cammo Grove","Cammo Road",76.49,1,Barnton_006
"Cammo Gardens",Cammo,"Cammo Parkway","Cammo Grove",79.75,1,Barnton_006
"Cammo Gardens",Cammo,"Cammo Place","Cammo Parkway",91.58,1,Barnton_006
"Cammo Gardens",Cammo,"Cammo Bank","Cammo Place",121.7,1,Barnton_006
"Cammo Gardens",Cammo,"Maybury Road","Cammo Bank",201.1,1,Barnton_006
"Cammo Road",,"Queensferry Road","Cammo Gardens",152.3,1,Barnton_006
"Campbell Avenue",Murrayfield,"Campbell Road","Cumlodden Avenue",103.3,2,Barnton_201
"Campbell Avenue",Murrayfield,"Murrayfield Road","Campbell Road",100.2,2,Barnton_201
"Camus Avenue",Caiystane,"Buckstone Terrace","Camus Road East",110.5,1,Bankhead_014
"Camus Avenue",Caiystane,"Camus Road West","Camus Road East",87.8,1,Bankhead_014
"Camus Road East",Caiystane,"Camus Avenue","Caiystane Crescent",244.2,2,Bankhead_201
"Camus Road West",Caiystane,"Caiystane Crescent","Camus Avenue",196.6,1,Bankhead_014
"Canaan Lane",Newbattle,"End of cul de sac","Woodburn Place",142.1,1,Blackford_010
"Canaan Lane",Newbattle,"Woodburn Terrace","Morningside Road",319.6,1,Blackford_010
"Canaan Lane",Newbattle,"Grange Loan","Canaan Lane",272.9,1,Blackford_010
"Candlemaker Row","Old Town",Cowgate,"End of cul de sac",203.1,1,Barnton_009
"Canning Street",Bruntsfield,"Canning Street","West Approach Road",69.27,1,Barnton_007
"Canning Street",Bruntsfield,"Canning Street Lane","Torphichen Street",34.53,1,Barnton_007
"Canning Street",Bruntsfield,"Canning Street","Torphichen Street",33.02,1,Barnton_007
"Canning Street",Bruntsfield,"Canning Street","Canning Street Lane",146.5,1,Barnton_007
Canongate,"Old Town","Horse Wynd",Canongate,17.24,1,Barnton_009
Canongate,"Old Town",Canongate,Abbeyhill,15.74,1,Barnton_009
Canongate,"Old Town",Abbeyhill,"Abbey Strand",13.77,1,Barnton_009
Canongate,"Old Town","Bakehouse Close","Reid's Close",182.7,1,Barnton_009
Canongate,"Old Town","New Street","Bakehouse Close",177.7,1,Barnton_009
Canongate,"Old Town","St Mary's Street","Cranston Street",25.71,1,Barnton_009
Canongate,"Old Town","Cranston Street","New Street",100,1,Barnton_009
Canongate,"Old Town","Reid's Close",Canongate,151.5,1,Barnton_009
Canonmills,Broughton,"Canonmills Bridge","Warriston Road",20.88,1,Barnton_008
Canonmills,Broughton,"Warriston Road","Canon Lane",23.58,1,Barnton_008
Canonmills,Broughton,"Canon Lane","Broughton Road",132.8,1,Barnton_008
"Canonmills Bridge",Broughton,"Howard Street","End of cul de sac",47.44,1,Barnton_008
"Captain's Drive",Gracemount,"Captain's Row","Gracemount Drive",61.35,1,Blackford_011
"Captain's Drive",Gracemount,"Balmwell Terrace","Captain's Row",299,1,Blackford_011
"Captain's Road",Gracemount,"Burdiehouse Road","Southhouse Road",90.87,1,Blackford_004
"Captain's Road",Gracemount,"Southhouse Road","Gracemount Road",75.33,1,Blackford_004
"Captain's Road",Gracemount,"Gracemount Road","Southhouse Broadway",227.6,1,Blackford_004
"Captain's Road",Gracemount,"Southhouse Broadway","Gracemount Drive",138.8,1,Blackford_004
"Captain's Road",Gracemount,"Gracemount Drive","Southhouse Terrace",156.3,1,Blackford_004
"Captain's Road",Gracemount,"Southhouse Terrace","Lasswade Grove",214.6,1,Blackford_004
"Captain's Road",Gracemount,"Lasswade Grove","Lasswade Road",85.93,1,Blackford_004
"Carlowrie Avenue",Dalmeny,"Carlowrie Crescent","Carlowrie Crescent",181.9,1,Barnton_012
"Carlowrie Avenue",Dalmeny,"The Glebe","Carlowrie Crescent",95.87,1,Barnton_012
"Carlowrie Crescent",Dalmeny,"Carlowrie Avenue","Carlowrie Avenue",213.3,1,Barnton_012
"Carlton Terrace",Broughton,"Carlton Terrace Lane","Carlton Terrace Brae",78.5,2,Blackford_202
"Carlton Terrace Brae",Broughton,"Carlton Terrace","Regent Road",124.7,2,Blackford_202
"Carmel Avenue",Kirkliston,"Pentland View Road","Liston Drive",106.6,1,Barnton_012
"Carmel Road",Kirkliston,"Marshall Road","Liston Road",78.17,1,Barnton_012
"Carmel Road",Kirkliston,"Marshall Road","End of cul de sac",52.28,1,Barnton_012
"Carnbee Avenue","Hyvots Bank","Carnbee Avenue","End of cul de sac",123.7,1,Blackford_011
"Carnbee Avenue","Hyvots Bank","Lasswade Road","Carnbee Avenue",110.9,1,Blackford_011
"Carnbee Avenue","Hyvots Bank","Carnbee Avenue","Lasswade Road",114,1,Blackford_011
"Caroline Terrace",Corstorphine,"Drum Brae Gardens","Hillview Drive",101,2,Barnton_201
"Caroline Terrace",Corstorphine,"Hillview Drive","Corstorphine Bank Drive",165,2,Barnton_201
"Caroline Terrace",Corstorphine,"Corstorphine Bank Drive","Caroline Terrace",91.88,2,Barnton_201
"Caroline Terrace",Corstorphine,"Caroline Terrace","Caroline Terrace",75.47,2,Barnton_201
"Caroline Terrace",Corstorphine,"Caroline Terrace","Caroline Terrace",151.2,2,Barnton_201
"Caroline Terrace",Corstorphine,"Clermiston Road","Caroline Terrace",161.6,2,Barnton_201
"Caroline Terrace",Corstorphine,"Caroline Terrace","Caroline Terrace",172.7,2,Barnton_201
"Carrick Knowe Gardens","Carrick Knowe","Lampacre Road","Carrick Knowe Drive",43.96,1,Bankhead_009
"Carrick Knowe Gardens","Carrick Knowe","Carrick Knowe Road","Carrick Knowe Hill",64.2,1,Bankhead_009
"Carrick Knowe Gardens","Carrick Knowe","Carrick Knowe Parkway","Carrick Knowe Hill",115.4,1,Bankhead_009
"Carrick Knowe Gardens","Carrick Knowe","Carrick Knowe Terrace","Carrick Knowe Parkway",44.78,1,Bankhead_009
"Carrick Knowe Gardens","Carrick Knowe","Carrick Knowe Drive","Carrick Knowe Terrace",87.35,1,Bankhead_009
"Carrick Knowe Road","Carrick Knowe","Carrick Knowe Loan","Carrick Knowe Drive",107.2,1,Bankhead_009
"Carrick Knowe Road","Carrick Knowe","Saughton Road North","Carrick Knowe Loan",81.63,1,Bankhead_009
"Carrick Knowe Road","Carrick Knowe","Carrick Knowe Drive","Carrick Knowe Gardens",69.62,1,Bankhead_009
"Carrington Road",Inverleith,"Fettes Avenue","Crewe Road South",310.5,1,Barnton_008
"Carrington Road",Inverleith,"East Fettes Avenue","Fettes Avenue",261.9,1,Barnton_008
"Castle Terrace","Old Town","Johnston Terrace","Lady Lawson Street",45.64,1,Barnton_010
"Castle Terrace","Old Town","Johnston Terrace","Lothian Road",350.8,1,Barnton_010
Castlehill,"Old Town","Ramsay Lane","Castle Esplanade",41.3,1,Barnton_009
Causewayside,Grange,"Summerhall Square","End of cul de sac",54.28,1,Blackford_002
Causewayside,Grange,Sciennes,"Summerhall Square",36.44,1,Blackford_002
Causewayside,Grange,"Salisbury Place","Kittle Yards",186.1,1,Blackford_008
Causewayside,Grange,"Kittle Yards","Duncan Street",64.47,1,Blackford_008
Causewayside,Grange,Causewayside,"Grange Road",57.74,1,Blackford_007
Causewayside,Grange,"Sciennes House Place",Causewayside,51.92,1,Blackford_007
Causewayside,Grange,"East Sciennes Street","Sciennes House Place",82.64,1,Blackford_007
Causewayside,Grange,"West Preston Street","East Sciennes Street",51.26,1,Blackford_007
"Chamberlain Road",Bruntsfield,"Forbes Road","Bruntsfield Place",164,1,Blackford_016
"Chamberlain Road",Bruntsfield,"Greenhill Gardens","Forbes Road",123.1,2,Bankhead_202
"Chambers Street","Old Town","South Bridge","Guthrie Street",73.1,1,Barnton_009
"Chambers Street","Old Town","Guthrie Street","West College Street",52.54,1,Barnton_009
