"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"A90T - Dalmeny to Echline Roundabout",Cramond,"M9 - Link Road to A90T","A90T - Dalmeny to Echline Roundabout",516.3,1,Barnton_001
"A90T - Echline Rbout to Fife Boundary",,"A90T - Echline Rbout to Fife Boundary","A8000 - Kirkliston to South Queensferry",401.7,1,Barnton_001
"A90T - Echline Rbout to Fife Boundary",,"A8000 - Kirkliston to South Queensferry","A90T - Echline Rbout to Fife Boundary",421.3,1,Barnton_001
"Abbey Lane",Abbeyhill,"Abbey Lane",Abbeyhill,116.4,2,Blackford_202
"Abbey Lane",Abbeyhill,"London Road","Abbey Lane",67.21,2,Blackford_202
"Abbey Mount",Abbeyhill,"Regent Road",Abbeyhill,236.7,1,Blackford_007
Abbeyhill,Abbeyhill,"Calton Road",Canongate,21.02,1,Blackford_007
Abbeyhill,Abbeyhill,Abbeyhill,"Abbey Lane",27.57,1,Blackford_007
Abbeyhill,Abbeyhill,Abbeyhill,Abbeyhill,42.75,1,Blackford_007
Abbeyhill,Abbeyhill,Croft-An-Righ,Abbeyhill,156.6,1,Blackford_007
Abbeyhill,Abbeyhill,"Abbey Mount",Croft-An-Righ,119,1,Blackford_007
Abbeyhill,Abbeyhill,"Abbey Mount","Abbey Close",83.27,1,Blackford_007
Abbeyhill,Abbeyhill,"Abbey Close","Calton Road",108.4,1,Blackford_007
"Abercorn Road",Willowbrae,"Willowbrae Avenue","Lilyhill Terrace",29.73,2,Blackford_202
"Abercorn Terrace","Portobello East","John Street","Pittville Street",108.3,1,Blackford_001
"Abercorn Terrace","Portobello East","Pittville Street","Portobello High Street",68.46,1,Blackford_001
"Abercorn Terrace","Portobello East","James Street","John Street",107.4,1,Blackford_001
"Abercorn Terrace","Portobello East","Brunstane Road North","James Street",106.9,1,Blackford_001
"Abercromby Place",Broughton,"Nelson Street","Dublin Street",168.6,1,Barnton_004
"Abercromby Place",Broughton,"Dundas Street","Nelson Street",171.1,1,Barnton_004
"Academy Street","South Leith","Duke Street","St Andrew Place",90.04,1,Barnton_018
"Addiston Farm Road",Riccarton/Muirwood,"Ransfield Road","Calder Road",660.4,1,Farmers_001_Ratho
"Ainslie Place",Stockbridge,"Great Stuart Street","Ainslie Place",73.1,1,Barnton_004
"Ainslie Place",Stockbridge,"Great Stuart Street","Great Stuart Street",130.5,1,Barnton_004
"Ainslie Place",Stockbridge,"Ainslie Place","Glenfinlas Street",30.32,1,Barnton_004
"Ainslie Place",Stockbridge,"Ainslie Place","Great Stuart Street",59.39,1,Barnton_004
"Alan Breck Gardens",Clerwood,"Ransome Gardens","Hoseason Gardens",100.3,1,Barnton_016
"Alan Breck Gardens",Clerwood,"Essendean Terrace","Durar Drive",139.3,1,Barnton_016
"Alan Breck Gardens",Clerwood,"Hoseason Gardens","Essendean Terrace",177.4,1,Barnton_016
"Alan Breck Gardens",Clerwood,"Rannoch Road","Ransome Gardens",112.5,1,Barnton_016
"Albany Street",Broughton,"Dublin Street","Albany Lane",186.3,1,Barnton_004
"Albany Street",Broughton,"Albany Street","Broughton Street",31.9,1,Barnton_004
"Albany Street",Broughton,"Albany Street","Broughton Street",25.74,1,Barnton_004
"Albany Street",Broughton,"Albany Lane","Albany Street",95.34,1,Barnton_004
"Albert Place",Albion,"Albert Place","Brunswick Place",47.1,1,Barnton_004
"Albert Place",Albion,"Albert Street","Shrub Place",26.75,1,Barnton_004
"Albert Place",Albion,"Shrub Place","Albert Place",57.29,1,Barnton_004
"Albert Street",Albion,"Murano Place","Shrub Place",79.23,1,Blackford_006
"Albert Street",Albion,"Easter Road","Dickson Street",101,1,Blackford_006
"Albert Street",Albion,"Albert Street","Albert Street",69.12,1,Blackford_006
"Albert Street",Albion,"Dickson Street","South Sloan Street",99.19,1,Blackford_006
"Albert Street",Albion,"South Sloan Street","Albert Street",106.2,1,Blackford_006
"Albert Street",Albion,"Albert Street","Murano Place",33.08,1,Blackford_006
"Albert Street",Albion,"South Sloan Street","South Sloan Street",18.03,1,Blackford_006
"Alemoor Crescent",Lochend,"Alemoor Park","Alemoor Crescent",134.4,1,Barnton_018
"Alemoor Crescent",Lochend,"Alemoor Crescent","Alemoor Crescent",28.24,1,Barnton_018
"Alemoor Crescent",Lochend,"Alemoor Crescent","Alemoor Park",90.91,1,Barnton_018
"Alemoor Park",Lochend,"Restalrig Road","Alemoor Crescent",104.4,1,Barnton_018
"Alemoor Park",Lochend,"Alemoor Crescent","Alemoor Park",28.9,1,Barnton_018
"Alemoor Park",Lochend,"Alemoor Park","Alemoor Park",79.61,1,Barnton_018
"Allan Park Crescent","Slateford Road","Allan Park Drive","Allan Park Loan",93.66,2,Bankhead_202
"Allan Park Crescent","Slateford Road","Allan Park Road","Allan Park Loan",326.8,2,Bankhead_202
"Allan Park Drive","Slateford Road","Allan Park Gardens","Allan Park Road",333.1,2,Bankhead_202
"Allan Park Drive","Slateford Road","Allan Park Crescent","Allan Park Gardens",49.4,2,Bankhead_202
"Allan Park Road","Slateford Road","Slateford Road","Allan Park Drive",73.49,2,Bankhead_202
"Allan Park Road","Slateford Road","Allan Park Drive","Allan Park Drive",225.6,2,Bankhead_202
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Terrace","Howden Hall Drive",55.95,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Gardens","Alnwickhill Crescent",73.32,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Park","Alnwickhill Gardens",66.32,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Road","Alnwickhill Park",79.31,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Loan","Alnwickhill Terrace",41.77,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Grove","Alnwickhill Loan",87.31,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill View","Alnwickhill Grove",50.56,2,Blackford_201
"Alnwickhill Drive",Alnwickhill,"Alnwickhill Crescent","Alnwickhill View",37.07,2,Blackford_201
"Alnwickhill Road",Alnwickhill,"Beauchamp Road","Liberton Brae",154.8,1,Blackford_005
"Alnwickhill Road",Alnwickhill,"Hawkhead Crescent","Beauchamp Road",156.9,1,Blackford_005
"Alnwickhill Road",Alnwickhill,"Liberton Drive","Hawkhead Crescent",175.7,1,Blackford_005
"Alnwickhill Road",Alnwickhill,Stanedykehead,"Liberton Drive",292.2,1,Blackford_005
"Alnwickhill Road",Alnwickhill,"Alnwickhill Drive",Stanedykehead,274.8,1,Blackford_005
"Alnwickhill Road",Alnwickhill,"Liberton Gardens","Alnwickhill Drive",236.5,1,Blackford_005
Anchorfield,Newhaven,Hawthornvale,"Lindsay Road",43.74,1,Barnton_005
"Angle Park Terrace",Gorgie,"West Approach Road","Ardmillan Place",113.1,1,Bankhead_008
"Angle Park Terrace",Gorgie,"Harrison Road","Ardmillan Place",165.7,1,Bankhead_008
"Annandale Street",Broughton,"Annandale Street","Hopetoun Street",204,1,Barnton_004
"Annandale Street",Broughton,"Haddington Place","Annandale Street",30.71,1,Barnton_004
"Annandale Street",Broughton,"Elm Row","Annandale Street",143.4,1,Barnton_004
"Annandale Street",Broughton,"East London Street","East London Street",67.85,1,Barnton_004
Annfield,Newhaven,"Great Michael Rise",Annfield,103.5,1,Barnton_005
Annfield,Newhaven,Annfield,Hawthornvale,79.38,1,Barnton_005
"Antigua Street",Albion,"Gayfield Square","Elm Row",57.21,1,Barnton_004
"Antigua Street",Albion,"Baxter's Place","Union Street",61.5,1,Barnton_004
"Antigua Street",Albion,"Elm Row","Baxter's Place",20.69,1,Blackford_002
"Arboretum Place",Inverleith,"Inverleith Terrace","Cycle Track-Inverleith Pk",218.5,1,Barnton_008
"Arboretum Place",Inverleith,"Cycle Track-Inverleith Pk","Inverleith Place",249.5,1,Barnton_008
"Arboretum Road",Inverleith,"Kinnear Road","Ferry Road",257.9,1,Barnton_008
"Arboretum Road",Inverleith,"Arboretum Place","Kinnear Road",207.9,1,Barnton_008
"Ardmillan Terrace",Gorgie,"Harrison Road","Ardmillan Terrace Lane",130.3,1,Bankhead_008
"Ardmillan Terrace",Gorgie,"Ardmillan Terrace Lane","Dalry Road",87.81,1,Bankhead_008
"Argyle Place",Bruntsfield,"Argyle Park Terrace","Melville Drive",33.17,1,Blackford_016
"Argyle Place",Bruntsfield,"Argyle Park Terrace","Melville Drive",44.96,1,Blackford_016
"Argyle Place",Bruntsfield,"Sciennes Road","Roseneath Terrace",85.28,1,Blackford_016
"Argyle Place",Bruntsfield,"Roseneath Terrace","Argyle Park Terrace",79.04,1,Blackford_016
"Ashburnham Road","South Queensferry","Station Road","Ashburnham Road",75.24,1,Barnton_012
"Ashburnham Road","South Queensferry","Ashburnham Road","Dundas Avenue",102.1,1,Barnton_012
"Ashley Terrace",Polwarth,"Gray's Loan","End of cul de sac",61.85,1,Bankhead_008
"Ashley Terrace",Polwarth,"Cowan Road","Ashley Drive",112.4,1,Bankhead_008
"Ashley Terrace",Polwarth,"Shaftesbury Park","Cowan Road",121.8,1,Bankhead_008
"Ashley Terrace",Polwarth,"Shandon Place","Shaftesbury Park",75.69,1,Bankhead_008
"Ashley Terrace",Polwarth,"Ashley Drive","End of cul de sac",27.66,1,Bankhead_008
"Avon Road",Cramond,"Whitehouse Road","Avon Road",83.01,2,Barnton_202
"Avon Road",Cramond,"Avon Road","Avon Grove",61.45,2,Barnton_202
"Avon Road",Cramond,"Avon Grove","Avon Road",88.31,2,Barnton_202
"Avon Road",Cramond,"Avon Road","Avon Place",19.85,2,Barnton_202
