Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Morningside Road - Blackwood Coffee","235 Morningside Road","3.4m x 0.55","Monday, April 01, 2013","Monday, September 30, 2013",337,10,
"Morningside Road - Caff","177 Morningside Road","13.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",313,10,
"Morningside Road - Caffe E Cucina","370-372 Morningside Rd","6.9m x 2.5m","Monday, April 01, 2013","Monday, September 30, 2013",144,10,
"Morningside Road - Henris Fine Food and Wine","376 Morningside Road","5.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",343,10,
"Morrison Street - Milk","232 Morrison Street","3.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",370,11,
"Morrison Street - Thomsons Bar","182-184 Morrison Street","3.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",272,11,
"Murrayfield Place - Caf","8 Murrayfield Place","2.5m x 1.2m","Monday, April 01, 2013","Monday, September 30, 2013",521,06,
"Nicolson Street - Beanscene","99 Nicolson Street","14.0m x 1.0m","Saturday, January 26, 2013","Thursday, July 25, 2013",491,15,
"Nicolson Street - Black Medicine Coffee Company 1","2 Nicolson Street","3.0m x 1.0m","Thursday, May 09, 2013","Friday, November 08, 2013",53,15,
"Nicolson Street - Caf","119 Nicolson Street","2.0m x 1.0m","Wednesday, May 01, 2013","Thursday, October 31, 2013",306,15,
"Nicolson Street - Kilimanjaro Coffee","104 Nicolson Street","3.4m x 0.9m","Monday, April 01, 2013","Monday, March 31, 2014",60,15,
"North Bank Street - Porto & Fi on The Mound","9 North Bank Street","7.0m x 3.5m","Monday, April 01, 2013","Monday, September 30, 2013",368,11,
"North Bank Street - The Wash Bar","11-13 North Bank Street","1.60m x 1.50m","Monday, May 06, 2013","Monday, May 05, 2014",100,11,
"North Bank Street - Whiski Rooms","4-7 North Bank Street","5.6m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",324,11,
"North Bridge - Bella Italia","54-56 North Bridge","5.0m x 2.2m & 1.2m x 2.2m","Monday, April 01, 2013","Monday, March 31, 2014",431,11,
"North West Circus Place - Caf","14-16 North West Circus Place","7.1m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",87,05,
"Northfield Broadway - The Broadfield Public House","96 Northfield Broadway","2.0m x 2.0m and 2.0m x 2.0m","Friday, June 07, 2013","Friday, December 06, 2013",136,14,
"Picardy Place - Fiddlers Elbow","4 Picardy Place","2.7m x 1.3m","Tuesday, May 21, 2013","Wednesday, November 20, 2013",120,11,
"Picardy Place - The Street","2 Picardy Place","2.7m x 2.1m","Monday, April 01, 2013","Monday, March 31, 2014",391,11,
"Pleasance - Breakfast, Brunch and Lunch","65 Pleasance","1.0m x 1.5m and 2.5m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",511,15,
"Polwarth Crescent - The Polwarth Tavern","35 Polwarth Crescent","3.0m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",283,09,
"Portobello High Street - Deli 194","194 Portobello High Street","2.65m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",378,17,
"Portobello High Street - Popeyes Sandwich Bar","132 Portobello High Street","4.5m x 1.5m","Wednesday, May 01, 2013","Thursday, October 31, 2013",286,17,
"Princes Street - BHS Ltd","64 Princes Street","8.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",467,11,
"Queensferry Street - Mathers Bar","1 Queensferry Street","6.0m x 1.1m","Thursday, February 21, 2013","Thursday, February 20, 2014",425,11,
"Queensferry Street - Quatro Zero","40-41 Queensferry Street","2.0m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",545,11,
"Raeburn Place - Caf","96 Raeburn Place","2.22m x 1.0m","Tuesday, June 18, 2013","Tuesday, June 17, 2014",301,05,
"Rose Stree - Miros Cantina","184 Rose Street","4.5m x 3.5m","Monday, April 01, 2013","Monday, September 30, 2013",84,11,
"Rose Street - 1780 Restaurant","167 Rose Street","5.35m x 3.5m (1/4/12 to 30/9/12)
5.35m x 1.5m (1/10/12 to 31/3/13)","Monday, April 01, 2013","Monday, March 31, 2014",68,11,
"Rose Street - Baguette Express","93 Rose Street","2.5m x 1.5m","Saturday, December 01, 2012","Saturday, November 30, 2013",288,11,
"Rose Street - Black Cat","168 Rose Street","3.5m x 2.0m & 5.0m x 2.0m","Saturday, April 13, 2013","Saturday, October 12, 2013",206,11,
"Rose Street - Dirty Dicks","159 Rose Street","4.6m x 3.0m (April-September)
4.6m x 1.5m (October-March)","Monday, April 01, 2013","Monday, March 31, 2014",67,11,
"Rose Street - Element","110-114 Rose Street","5.7m x 2.5m","Monday, April 01, 2013","Monday, March 31, 2014",351,11,
"Rose Street - Filling Station","66 Rose Street","8.1m x 1.4m","Thursday, January 24, 2013","Thursday, January 23, 2014",178,11,
"Rose Street - Gordon Arms","133 Rose Street","2.0m x 2.55m","Thursday, July 11, 2013","Thursday, July 10, 2014",29,11,
"Rose Street - Gourmet Grubb","71 Rose Street","5.0m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",235,11,
"Rose Street - Patisserie Valerie","158-162 Rose Street","5.75m x 2.0m","Saturday, March 30, 2013","Sunday, September 29, 2013",529,11,
"Rose Street - Robertsons 37 Bar","37 Rose Street","2.7m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",423,11,
"Rose Street - Robertsons 37 Bar","37 Rose Street","2.7m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",423,11,
"Rose Street - Rose Street Brewery","55-57 Rose Street","6.0m x 2.7m","Thursday, August 16, 2012","Thursday, August 15, 2013",355,11,
"Rose Street - Rose Street Take Away","106 Rose Street","2.5m x 1.0m","Thursday, July 19, 2012","Thursday, July 18, 2013",534,11,
"Rose Street - Shakeaway","134 Rose Street","2.5m x 2.0m","Friday, March 01, 2013","Friday, February 28, 2014",496,11,
"Rose Street - Social Bite","131 Rose Street","3.0m x 1.5,","Wednesday, August 22, 2012","Wednesday, August 21, 2013",539,11,
"Rose Street - The Abbotsford","3-5 Rose Street","7.0m x 3.5m","Monday, April 01, 2013","Monday, March 31, 2014",171,11,
"Rose Street - The Amber Rose","133 Rose Street","8.0mx 1.5m and 3.0m x 1.5m and 3.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",298,11,
"Rose Street - The Auld Hundred","100/102 Rose Street","3.13m x 1.9m & 3.83m x 1.9m","Monday, April 01, 2013","Monday, March 31, 2014",11,11,
"Rose Street - The Black Rose Tavern","49 Rose Street","6.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",401,11,
"Rose Street - The Kenilworth","152-154 Rose Street","9.5m x 2.1m","Monday, April 01, 2013","Monday, March 31, 2014",32,11,
"Rose Street - The Mussel Inn","61-65 Rose Street","6.7m x 4.0m","Monday, April 01, 2013","Monday, September 30, 2013",373,11,
"Rose Street - The Rose and Crown","170 Rose Street","4.0m x 2.7m & 4.0m x 2.7m","Monday, April 01, 2013","Monday, March 31, 2014",436,11,
"Rose Street - The Rosehip","43 Rose Street","5.0m x 3.0m and 5.0m x 3.0m -01 April - 31 July 2013
5.0m x 4.5m and 5.0m x 4.5m -August 2013
5.0m x 3.0m and 5.0m x 3.0m -September 2013
5.0m x 1.5m and 5.0m x1.5m -01 October 2013- 31 March 2014","Monday, April 01, 2013","Monday, March 31, 2014",160,11,
"Rose Street - Wildfire Steak & Seafood Bistro","192 Rose Street","6.0m x 3.0m","Monday, June 24, 2013","Monday, December 23, 2013",131,11,
"Roseburn Terrace - Roseburn Bar","1 Roseburn Terrace","10.0m x 1.8m","Monday, April 01, 2013","Monday, September 30, 2013",367,06,
"Royal Mile - Glenhas Deli","205 Royal Mile","2.0m x 1.7m and 2.2m x 0.5m","Monday, April 01, 2013","Monday, March 31, 2014",85,11,
"Rutland Place - Ghillie Dhu","2-6 Rutland Place",16.8m,"Monday, April 01, 2013","Monday, March 31, 2014",264,11,
"Sciennes Road - Annabelles","27 Sciennes Road","3.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",388,15,
"Shore - Kings Wark","36 The Shore","3.2m x 2.4m and 4.8m x 2.4m","Thursday, April 18, 2013","Thursday, April 17, 2014",502,13,
"South Bridge - Aspen Bar & Grill","66-67 South Bridge","8.0m x 0.6m","Wednesday, June 19, 2013","Wednesday, June 18, 2014",241,11,
"South Bridge - Biblos","74 South Bridge","5.0m x 1.4m","Friday, June 14, 2013","Friday, December 13, 2013",186,11,
"South Bridge - The Bank Hotel","1 South Bridge","2.0m x 1.5m & 2.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",185,11,
"South Charlotte Street - La Tasca","9 South Charlotte Street","2.0m x 1.2m","Monday, October 01, 2012","Monday, September 30, 2013",81,11,
"South Clerk Street - The Abbey","65 South Clerk Street","7.0m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",348,15,
"Spottiswoode Road - Freemans","2-6 Spottiswoode Road","12.0m x 1.5m","Saturday, April 20, 2013","Saturday, October 19, 2013",505,10,
"St. Andrew Square - Amarone Restaurant & Bar","12-13 St Andrew Square","10.0m x 2.0m & 10.0m x 1.5m","Thursday, June 27, 2013","Thursday, June 26, 2014",375,11,
"St. Giles Street - Fraser Suites","12-26 St. Giles Street","25.3m x 1.1m","Monday, July 29, 2013","Monday, July 28, 2014",250,11,
"St. Giles Street - Fraser Suites","12-26 St. Giles Street","25.3m x 1.1m","Monday, July 30, 2012","Monday, July 29, 2013",250,11,
"Strathearn Road - Empire Caf","21D Strathearn Road",1.14mx1.15m,"Friday, June 07, 2013","Friday, December 06, 2013",35,10,
"The Promenade - Porto Caf","25/25a The Promenade","6.0m x 1.0m","Thursday, March 21, 2013","Friday, September 20, 2013",446,14,
"The Shore - Fishers Bistro","1 The Shore","6.0m x 1.0m and 3.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",78,13,
"The Shore - Leith Beer Co","58 The Shore","9.0m x 6.0m","Monday, April 01, 2013","Monday, March 31, 2014",390,13,
"The Shore - Mimis Bakehouse","63 The Shore","4.5m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",518,13,
"The Shore - Pizza Express","38 The Shore","7.2m x 2.09m and 3.6m x 2.09m","Thursday, July 26, 2012","Thursday, July 25, 2013",533,13,
"The Shore - The Granary","32-34 The Shore","10.0m x 0.8m","Monday, April 01, 2013","Monday, March 31, 2014",244,13,
"The Shore - The Ship On The Shore","24-26 Shore","11.0m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",173,13,
"The Shore - The Shore Bar","3 The Shore","5.0m x 1.0m and 1.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",412,13,
"Union Place - Giulianos Restaurant","18/19 Union Place","2.6m x 2.0m and 2.6m x 2.0m","Wednesday, May 08, 2013","Thursday, November 07, 2013",159,11,
"Waterloo Place - Apex Waterloo Place Hotel","23-27 Waterloo Place","9.0m x 2.2m & 14.0m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",223,11,
"Waterloo Place - Howies","29 Waterloo Place","6.8m x 1.4m, 2.7m x 1.4m, 4.9m x 1.4m and 3.0m x 1.4m","Monday, April 01, 2013","Monday, September 30, 2013",344,11,
"Waterloo Place - Pep and Fodder","11 Waterloo Place","7.6m x 1.7m","Wednesday, December 05, 2012","Wednesday, December 04, 2013",542,11,
"Waterloo Place - The Waterloo Bar","5-7 Waterloo Place","3.0m x 1.0m & 1.0m x 1.0m","Thursday, April 11, 2013","Thursday, October 10, 2013",232,11,
"West Bow - Auld Jock Pie Shoppe","118 West Bow","3.5m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",47,11,
"West Bow - Mussel & Steak Bar","110 West Bow","2.7m x 4.0m and 2.7m x 4.0m","Monday, April 01, 2013","Monday, September 30, 2013",216,11,
"West Crosscauseway - 56 North","2 West Crosscauseway",41.5m2,"Monday, April 01, 2013","Monday, September 30, 2013",361,15,
"West Nicolson Street - Scoops Ice Cream","25-27 West Nicolson Street","3.0m x 1.0m","Thursday, May 23, 2013","Friday, November 22, 2013",530,15,
"West Richmond Street - Bonsai","46 West Richmond Street","4.0m x 4.0m","Monday, April 01, 2013","Monday, September 30, 2013",411,15,
"West Richmond Street - Richmond Caf","52 West Richmond Street","2.4m x 2.5m and 2.4m x 3.0m","Wednesday, April 10, 2013","Wednesday, October 09, 2013",406,15,
"Whitehouse Road - Barnton Fine Foods","199 Whitehouse Road","2.5m x 1.5m","Sunday, October 07, 2012","Sunday, October 06, 2013",326,01,
"Wrights Houses - Golf Tavern","30 Wrights Houses","7.1m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",347,10,
"Yeaman Place - Golden Rule","30 Yeaman Place","4.0m x 1.3m","Monday, April 01, 2013","Monday, September 30, 2013",460,09,
"Yeaman Place - Golden Rule","30 Yeaman Place","4.0m x 1.3m","Monday, April 01, 2013","Monday, September 30, 2013",460,09,
"York Place - Conan Doyle","71/73 York Place","3.0m x 2.0m & 4.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",3,11,
