Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Constitution Street - Port of Leith Bar","58 Constitution Street","1.8m x 1.7m & 2.0m x 1.7m","Monday, April 01, 2013","Monday, March 31, 2014",392,13,
"Cowgatehead - Bar Salsa","3 Cowgatehead","4.0m x 1.35m","Friday, April 05, 2013","Friday, April 04, 2014",209,11,
"Crighton Place - Gaia","32 Crighton Place","2.5m x 1.7m","Monday, April 01, 2013","Monday, March 31, 2014",268,12,
"Croall Place - Caf","9 Croall Place","3.0m x 0.6m","Wednesday, May 15, 2013","Saturday, November 16, 2013",143,12,
"Dalry Road - The Clock Caf","125 Dalry Road","3.0m x 2.0m","Monday, March 04, 2013","Tuesday, September 03, 2013",253,07,
"Deanhaugh Street - Peters Yard","3 Deanhaugh Street","4.0m x 1.0m","Tuesday, August 14, 2012","Tuesday, August 13, 2013",537,05,
"Deanhaugh Street - Pizza Express","1 Deanhaugh Street","10.0 x 2.0mx","Friday, March 01, 2013","Friday, February 28, 2014",543,05,
"Drummond Street - Brass Monkey","14 Drummond Street","3.1m x 1.26m","Monday, April 01, 2013","Monday, September 30, 2013",366,15,
"Dundee Street - The Fountain","131 Dundee Street","4.3m x 1.0m","Wednesday, May 29, 2013","Wednesday, May 28, 2014",516,11,
"East Claremont Street - Elbow Bar and Kitchen","133-135 East Claremont Street","2.85m x 1.2m & 2.62m x 1.2m","Monday, April 01, 2013","Monday, September 30, 2013",175,12,
"East London Street - Locanda Di Gusti","7,9 &11 East London Street","7.85m x 1.80m","Monday, April 01, 2013","Monday, September 30, 2013",6,11,
"Easter Road - Four in Hand","216-218 Easter Road","5.0m x 2.5m","Monday, April 01, 2013","Monday, September 30, 2013",393,12,
"Easter Road - Iona Bar","203 Easter Road","1.0m x 1.0m & 1.0m x 1.0m","Wednesday, May 15, 2013","Thursday, November 14, 2013",299,12,
"Easter Road - Mash Tun","154 - 158 Easter Road","1.76m x 1.5m and 8.55m x 1.5m","Wednesday, April 10, 2013","Wednesday, October 09, 2013",469,12,
"Easter Road - The Manna House /Cornelius Beer and Wine","22-24 Easter Road","4.0m x 0.75m","Saturday, June 01, 2013","Saturday, November 30, 2013",527,12,
"Elm Row - Elm Rose","3 Elm Row","2.5m x 1.5m","Wednesday, April 10, 2013","Wednesday, October 09, 2013",279,12,
"Elm Row - Elm Rose","3 Elm Row","2.5m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",279,12,
"Elm Row - Joseph Pearces","23 Elm Row","4.2m x 1.5m & 4.2m x 2.0m & 3.9m x 3.3m","Monday, April 01, 2013","Monday, September 30, 2013",88,12,
"Elm Row - Windsor Buffet","45 Elm Row","6.0m x 1.9m","Wednesday, May 01, 2013","Thursday, October 31, 2013",230,12,
"Ferry Road - Oceana","145 Ferry Road","8.0m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",125,12,
"Figgate Lane - Nobles Amusements","47-49 Figgate Lane","3.0m x 1.0m and 2.0m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",544,17,
"Forrest Road - Doctors","32 Forrest Road","12.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",354,15,
"Forrest Road - Frisky Frozen Yogurt","13 Forrest Road","1.0m x 1.0m and 1.0m x 1.0m","Friday, August 03, 2012","Friday, August 02, 2013",536,11,
"Forrest Road - Malones Irish Bar","14 Forrest Road","2.8m x 1.5m and 2.8m x 1.0m","Friday, February 08, 2013","Friday, February 07, 2014",50,11,
"Forrest Road - Subway","11 Forrest Road","2.6m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",499,11,
"Forrest Road - Union of Genius","8 Forrest Road","2.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",513,11,
"Frederick Street - Amicus Apple","17 Frederick Street","4.85m x 1.5m & 1.65m x 1.5m","Saturday, August 11, 2012","Saturday, August 10, 2013",466,11,
"Frederick Street - Ricks","55a Frederick Street","4.0m x 1.8m, 2.0m x 1.8m, 2.0m x 1.8m","Monday, April 01, 2013","Monday, March 31, 2014",419,11,
"Frederick Street - The Queens Arms","49 Frederick Street","3.24m x 2.58m","Monday, April 01, 2013","Monday, March 31, 2014",424,11,
"George IV Bridge - Bar Kohl","54-55 George IV Bridge","8.2m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",266,11,
"George IV Bridge - Caf","27 George IV Bridge","3.0m x 0.80m","Thursday, June 27, 2013","Thursday, June 26, 2014",525,11,
"George IV Bridge - Frankensteins","26 George IV Bridge","12.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",480,11,
"George IV Bridge - Pizza Paradiso","34 George IV Bridge","5.0m x 1.0m","Thursday, May 09, 2013","Friday, November 08, 2013",482,11,
"George IV Bridge - Villager","49-50 George IV Bridge","4.5m x 1.0m and 4.9m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",158,11,
"George IV Bridge - Vittoria ","19 George IV Bridge","1.0m x 5.0m & 1.0m x 3.0m","Monday, April 01, 2013","Monday, September 30, 2013",479,11,
"George Street - All Bar One","29-31 George Street","2.5m x 1.5m & 2.7m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",434,11,
