ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2602,Half Edinburgh,North Bughtlin Gate,On corner of Brae,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2603,Barnsley,North Bughtlin Brae,Outside play area,No,EB,0.00,0.00,West,Drum Brae/Gyle,
2604,Half Edinburgh,North Bughtlin Brae,Opposite 41,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2606,Half Edinburgh,Dechmont Road,Opposite 12,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2607,Half Edinburgh,North Gyle Grove,Path at side of 24,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2608,Half Edinburgh,Craigs Road,Opposite School gates,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2609,Half Edinburgh,Craigs Road,Outside School,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2610,Half Edinburgh,Craigs Road,At lamppost CWY 17,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2611,Half Edinburgh,Craigs Road,At lamppost CWY 11,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2612,Derby Standard,Craigmount View,On path in car park,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2613,Derby Slimline,Craigmount View,Opposite lampposy CWC24 on grass area,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2614,Half Edinburgh,Craigs Bank,At Church,Yes,WB,0.00,0.00,West,Drum Brae/Gyle,
2615,Half Edinburgh,Fair a Far,on footway at lamppost FAA 30,Yes,EB,0.00,0.00,West,Almond,
2616,Derby Standard,Craigievar Wynd,On footpath from School,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2617,Half Edinburgh,Manse Road,Outside Iceland,Yes,NB,0.00,0.00,West,Corstorphine/Murrayfield,
2620,Derby Auto Slimline,Balgreen Road,At entrance to Walkway,Yes,NB,0.00,0.00,South West,Sighthill/Gorgie,
2621,Derby Auto Slimline,Balgreen Road,At bus stop near shops,Yes,NB,0.00,0.00,South West,Sighthill/Gorgie,
2623,Half Edinburgh,Balgreen Road,"In saughton park, south path",Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2625,Derby Standard Green,Saughton Park,On path at rear of chesser house,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2626,Topsy,Stevenson Drive,Outside 72,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2627,Wybone,Stenhouse Drive,At bus stop at crescent,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,19/12/2011
2628,Topsy,Stenhouse Drive,At busstop near 14,Yes,SB,0.00,0.00,South West,Sighthill/Gorgie,
2629,Topsy,Stenhouse Drive,At bus stop at 108,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2630,Topsy,Stenhouse Drive,On bus route,,,0.00,0.00,South West,Sighthill/Gorgie,
2631,Topsy,Stenhouse Drive,On bus route,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2632,Neopolitan,Stenhouse Drive,A bus stop after asaughton maisvstreet,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2633,Neopolitan,Stenhouse Drive,At bus stop diagonnaly opposite gov building,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2634,Topsy,Broomhouse Drive,On bus route opposite gov building,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2635,Topsy,Broomhouse Drive,On bus route opposite broomhouse gardens west,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2636,Half Edinburgh,Saughton Road North,Outside number 160,No,NB,0.00,0.00,West,Corstorphine/Murrayfield,
2637,Derby Standard Green,Saughton Road North,Corner of Union park,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2638,Derby Slimline,Saughton Road North,Bus stop opposite 32,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2639,Half Edinburgh,Saughton Road North,At entrance to Union park,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2641,Derby Slimline,Saughton Road North,Outside 100f,Yes,NB,0.00,0.00,West,Corstorphine/Murrayfield,
2642,Neopolitan,Saughton Road North,Outside William Hill,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2643,Topsy,Corstorphine High Street,Outside Church at benches,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2644,Derby Slimline,Corstorphine High Street,At bus stop opposite 46,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2646,Half Edinburgh,St Margarets Park,In park at North wall,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2647,Derby Auto Slimline,Corstorphine High Street,In park at South entrance,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2648,Half Edinburgh,Manse Road,Outside Chinese takeaway,Yes,NB,0.00,0.00,West,Corstorphine/Murrayfield,
2649,Derby Standard,Meadow Place,At bus stop opposite Mcdonalds,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2650,Derby Standard,Meadow Place,Bus stop at Mcdonalds,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2651,Neopolitan,Meadow Place Road,Bus stop at 21,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2652,Neopolitan,Meadow Place Road,On corner opposite 11 lid missing,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2653,Derby Standard,Meadow Place Road,At bus stop outside 34,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2654,Half Edinburgh,Meadow Place Road at Broomhall drive,Outside shops,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2655,Derby Standard,Meadow Place Road,At bus stop outside 57,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2656,Derby Standard,Meadow Place Road,At bus stop outside 84,Yes,NB,0.00,0.00,West,Drum Brae/Gyle,
2657,Derby Standard,Meadow Place Road,At bus stop outside 105,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
