DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
n/t/c,Ben's Newsagent,Class 1,Class 1,Class 1,Class 1,97 BRUNSWICK STREET,EH7 5HR
hot food take-away,Frecach,Class 1,Class 1,SUI GENERIS,SUI GENERIS,99 BRUNSWICK STREET,EH7 5HR
hot food take-away,East India,Class 2,SUI GENERIS,SUI GENERIS,SUI GENERIS,103 BRUNSWICK STREET,EH7 5HR
gallery,Such and Such,Class 1,Class 1,Class 2,Class 1,105 BRUNSWICK STREET,EH7 5HR
pictures & picture framing,Old Scotland in Pictures,,,Class 1,Class 1,107-109 BRUNSWICK STREET,EH7 5HR
restaurant,Vittoria,Class 3,Class 3,Class 3,Class 3,113-115 BRUNSWICK STREET,EH7 5HR
vacant,vacant,Class 4,Vacant,,Vacant,86-88 BRUNSWICK STREET,EH7 5HU
hairdresser,Fashion Fix Barbers,Class 4,Class 4,Vacant,Class 1,90 BRUNSWICK STREET,EH7 5HU
wine merchant,Oddbins,Class 1,Class 1,Class 1,Class 1,94-96 BRUNSWICK STREET,EH7 5HU
hairdresser (ladies & gents),Cheynes,Class 1,Class 1,Class 1,Class 1,2 BRUNTSFIELD AVENUE,EH10 4EP
bathroom fittings & tiles,Bathroom Design,Vacant,Class 1,Class 1,Class 1,26 BRUNTSFIELD AVENUE,EH10 4EW
sports equipment & clothing,Bruntsfield Sports,Class 1,Class 1,Class 1,Class 1,103-105 BRUNTSFIELD PLACE,EH10 4EQ
hairdresser (ladies),Indigo,Class 1,Class 1,Class 1,Class 1,107 BRUNTSFIELD PLACE,EH10 4EQ
"financial services - insurance, pensions, investments",NFU Mutual,Class 1,Class 2,Class 2,Class 2,109-111 BRUNTSFIELD PLACE,EH10 4EQ
n/t/c & grocer,Bruntsfield News,Class 1,Class 1,Class 1,Class 1,115 BRUNTSFIELD PLACE,EH10 4EQ
shoes (ladies),ooh! ruby shoes,Class 1,Class 1,Class 1,Class 1,117 BRUNTSFIELD PLACE,EH10 4EQ
computer ink cartridge re-filling & recycling,Smart Cartridge,Class 2,Class 2,Class 1,Class 1,119 BRUNTSFIELD PLACE,EH10 4EQ
specialist chocolate confectionery & cafe,The Chocolate Tree,Class 1,Vacant,Class 1,Class 1,123 BRUNTSFIELD PLACE,EH10 4EQ
sandwich take-away,Baguette Express,Class 1,Class 1,Class 1,Class 1,125 BRUNTSFIELD PLACE,EH10 4EQ
chemist,Lloyds Pharmacy,Class 1,Class 1,Class 1,Class 1,129 BRUNTSFIELD PLACE,EH10 4EQ
children's clothing,Nippers,Class 2,Vacant,Class 1,Class 1,131 BRUNTSFIELD PLACE,EH10 4EB
hairdresser,Kimiko,Vacant,Class 1,Class 1,Class 1,133 BRUNTSFIELD PLACE,EH10 4EB
clothing repairs & alterations,Alter It,Vacant,Class 1,Class 1,Class 1,137 BRUNTSFIELD PLACE,EH10 4EB
hot food take-away (Indian),The Currie Leaf,,,Vacant,SUI GENERIS,139 BRUNTSFIELD PLACE,EH10 4EB
"gifts, soft furnishings & fancy goods",Clementine,Class 1,Class 1,Class 1,Class 1,141 BRUNTSFIELD PLACE,EH10 4EB
"delicatessen, wine merchant & restaurant",Peckhams,Class 1,Class 1,Class 1,Class 1,155-159 BRUNTSFIELD PLACE,EH10 4DG
restaurant (brasserie & bar),Montpeliers,Class 3,Class 3,Class 3,Class 3,159A-163A BRUNTSFIELD PLA,EH10 4DG
office (dance teacher),Dance Division,Vacant,Class 9,Class 9,Class 4,78 BUCCLEUCH STREET,EH8 9NH
role playing games,Black Lion Games,Class 1,Class 1,Class 11,Class 11,90 BUCCLEUCH STREET,EH8 9NH
cafe,Zucchero,Class 1,Class 1,Vacant,Class 3,94 BUCCLEUCH STREET,EH8 9NH
hairdresser,Ebony & Ivory,Class 1,Class 1,Class 1,Class 1,98 BUCCLEUCH STREET,EH8 9NH
vacant,vacant,,,Class 1,Vacant,104 BUCCLEUCH STREET,EH8 9NQ
letting office,Letslet,Class 1,Class 4,Vacant,Class 2,5 CLERK STREET,EH8 9JH
bank,Lloyds TSB Scotland,,,Class 2,Class 2,11 CLERK STREET,EH8 9JH
photo processing,Trumps,Class 1,Class 1,Vacant,Class 1,13 CLERK STREET,EH8 9JH
antiques / fine teas,Anteaques,Class 1,Class 1,Vacant,Class 1,17 CLERK STREET,EH8 9JH
optician,Browns Optician,Class 1,Class 1,Class 1,Class 1,19 CLERK STREET,EH8 9JH
jeweller,McDonald-Greene,Class 1,Class 1,Class 1,Class 1,165 BRUNTSFIELD PLACE,EH10 4DG
sandwich shop,Subway,Class 1,Class 1,Class 1,Class 1,165A BRUNTSFIELD PLACE,EH10 4DG
toys (for young children),The Smart Stork,Vacant,Class 1,Class 1,Class 1,165B BRUNTSFIELD PLACE,EH10 4DG
vacant,vacant,Class 1,Class 1,Class 1,Vacant,167 BRUNTSFIELD PLACE,EH10 4DG
"hot food take-away (fish & chips, pizzas)",Globetrotter,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,169 BRUNTSFIELD PLACE,EH10 4DG
restaurant & hot food take-away,Himalaya Tandoori Restaurant,Class 3,Class 3,Class 3,Class 3,171 BRUNTSFIELD PLACE,EH10 4DG
residential letting agency,ACE Property management Ltd.,Class 1,Class 1,Class 1,Class 2,175 BRUNTSFIELD PLACE,EH10 4DG
chemist,Paton & Finlay,Class 1,Class 1,Class 1,Class 1,177 BRUNTSFIELD PLACE,EH10 4DG
hot food take-away (Chinese),Good Food,SUI GENERIS,Class 1,SUI GENERIS,SUI GENERIS,179 BRUNTSFIELD PLACE,EH10 4DG
ladies clothing,Fifi Wilson,Class 4,Class 1,Class 1,Class 1,181 BRUNTSFIELD PLACE,EH10 4DG
restaurant (Italian),Inca,Class 11,Class 11,Class 3,Class 3,183 BRUNTSFIELD PLACE,EH10 4DG
"baker, confectioner & cafÚ (specialist)",Falko Konditormeister,Class 1,Class 1,Class 1,Class 1,185 BRUNTSFIELD PLACE,EH10 4DG
fishmonger,George Hughes & Son,Class 1,Class 1,Class 1,Class 1,197 BRUNTSFIELD PLACE,EH10 4DQ
solicitors & estate agents,Lindsays W.S.,Class 1,Class 1,Class 2,Class 2,201-203 BRUNTSFIELD PLACE,EH10 4DH
shoes (childrens),Maddie and marks,Class 1,Class 1,Class 1,Class 1,205 BRUNTSFIELD PLACE,EH10 4DH
"greeting cards, calendars, stationery, gifts",Everyone's Designs,Class 1,Class 1,Class 1,Class 1,213 BRUNTSFIELD PLACE,EH10 4DH
ladies clothing & accessories,Vivaldi,Class 1,Class 1,Class 1,Class 1,217 BRUNTSFIELD PLACE,EH10 4DH
books,The Edinburgh Bookshop,Class 1,Class 1,Class 1,Class 1,219 BRUNTSFIELD PLACE,EH10 4DH
"leather goods, luggage; kilt hire & purchase",Manacraft Leather & Highland Co.,Class 1,Class 1,Class 1,Class 1,88 BRUNTSFIELD PLACE,EH10 4HG
financial services - insurance,Swinton Insurance,Class 1,Class 2,Class 2,Class 2,90-92 BRUNTSFIELD PLACE,EH10 4ES
stationers (specialist social stationery),White Blossom Paper Boutique,Class 1,Class 1,Class 1,Class 1,96 BRUNTSFIELD PLACE,EH10 4ES
bank admin.,Bank of Scotland,Class 2,Class 2,Class 4,Class 4,98 BRUNTSFIELD PLACE,EH10 4ES
juice & smoothie bar,Juiced Up,Class 1,SUI GENERIS,Class 1,Class 3,100 BRUNTSFIELD PLACE,EH10 4ES
vacant,vacant (opening soon : Sweet),Class 2,Class 4,Class 1,Vacant,104 BRUNTSFIELD PLACE,EH10 4ES
jewellery studio (hand-made contemporary jewellery),Annie Smith,Class 1,Class 1,Class 1,Class 1,106 BRUNTSFIELD PLACE,EH10 4ES
"homeware, gifts, fancy goods",Halibut & Herring,Class 1,Class 1,Class 1,Class 1,108 BRUNTSFIELD PLACE,EH10 4ES
greeting cards & gift wrap,The Bay Tree Company,Class 1,Class 1,Class 1,Class 1,110 BRUNTSFIELD PLACE,EH10 4ES
optician,R.C. Cunning,Class 1,Class 1,Class 1,Class 1,114 BRUNTSFIELD PLACE,EH10 4ES
sports clothing,Fitness Box,Class 1,Class 1,Class 1,Class 1,116 BRUNTSFIELD PLACE,EH10 4ES
beauty salon,All About Eve,Vacant,Vacant,Class 1,Class 1,118 BRUNTSFIELD PLACE,EH10 4ES
craft goods (beads),The Little Bead Shop,Class 1,Class 1,Class 1,Class 1,120 BRUNTSFIELD PLACE,EH10 4ES
coffee shop,Costa,Class 1,Vacant,Class 1,Class 3,124-130 BRUNTSFIELD PLACE,EH10 4ES
grocer / convenience store,Costcutter,Class 1,Class 1,Class 1,Class 1,132-134 BRUNTSFIELD PLACE,EH10 4ER
financial services (foreign currency & travellers cheques),Post Office (foreign currency / travellers cheques only),Class 1,Class 1,Class 1,Class 1,136 BRUNTSFIELD PLACE,EH10 4ER
vacant,vacant (formerly Ooud Kitchen take-away food - temp. closure for refurb.),Class 1,Class 1,Class 1,SUI GENERIS,138 BRUNTSFIELD PLACE,EH10 4ER
vacant,vacant (formerly Ooud Kitchen take-away food - temp. closure for refurb.),Class 2,Class 1,Class 1,SUI GENERIS,140 BRUNTSFIELD PLACE,EH10 4ER
ladies clothing,chie chie,Vacant,Class 1,Class 1,Class 1,144 BRUNTSFIELD PLACE,EH10 4ER
florist,Honeysuckle,Class 1,Class 1,Class 1,Class 1,146 BRUNTSFIELD PLACE,EH10 4ER
jewellery,Rosie Brown,Class 1,Class 1,Class 1,Class 1,148 BRUNTSFIELD PLACE,EH10 4ER
shoe repairs / key cutting,S.O.S.,Class 1,Class 1,Class 1,Class 1,150 BRUNTSFIELD PLACE,EH10 4ER
"hardware, domestic appliance parts & servicing",Bruntsfield Hoover Service,Class 1,Class 1,Class 1,Class 1,154 BRUNTSFIELD PLACE,EH10 4ER
"home-made food (preserves etc.), outside caterers",A la Carte,Class 1,Class 1,Class 1,Class 1,156 BRUNTSFIELD PLACE,EH10 4ER
restaurant (Italian),Papilio,Class 3,Class 3,Class 3,Class 3,158 BRUNTSFIELD PLACE,EH10 4ER
grocer (Thai & oriental ingredients),Orient Thai Market (Thaitop),Vacant,Class 1,Class 1,Class 1,164 BRUNTSFIELD PLACE,EH10 4ER
stationers (specialist social stationery),"Hatches, Matches & Dispatches",Class 1,Class 1,Class 1,Class 1,166 BRUNTSFIELD PLACE,EH10 4ER
residential letting agency,Albany Lettings,Class 1,Class 1,Class 2,Class 2,168 BRUNTSFIELD PLACE,EH10 4ER
jeweller,Fabulous Fakes,Class 4,Class 1,Class 1,Class 1,170 BRUNTSFIELD PLACE,EH10 4ER
chocolate confectionery,Coco of Bruntsfield,Vacant,Class 1,Class 1,Class 1,174 BRUNTSFIELD PLACE,EH10 4ER
wine merchant,Oddbins,Class 1,Class 1,Class 1,Class 1,176 BRUNTSFIELD PLACE,EH10 4DF
ladies clothing,C'est si Bon,Class 1,Class 1,Class 1,Class 1,178 BRUNTSFIELD PLACE,EH10 4DF
restaurant,CafÚ Grande,,,Class 3,Class 3,182-184 BRUNTSFIELD PLACE,EH10 4DF
butcher,William Christie,Class 1,Class 1,Class 1,Class 1,186 BRUNTSFIELD PLACE,EH10 4DF
ladies clothing & accessories,Chi (incorporating miam-miam),Class 1,Class 1,Class 1,Class 1,188 BRUNTSFIELD PLACE,EH10 4DF
coffee shop,Project Coffee,Class 1,Class 1,Class 1,Class 3,192-194 BRUNTSFIELD PLACE,EH10 4DF
n/t/c,News Plus,Class 1,Class 1,Class 1,Class 1,196 BRUNTSFIELD PLACE,EH10 4DF
baker,Greggs,Class 1,Class 1,Class 1,Class 1,198 BRUNTSFIELD PLACE,EH10 4DF
hairdresser,Craig Davidson,Class 1,Class 1,Class 1,Class 1,200 BRUNTSFIELD PLACE,EH10 4DF
"grocer (cheese, bread, charcuterie & vegetables)",Clarks,Class 1,Class 1,Class 1,Class 1,202 BRUNTSFIELD PLACE,EH10 4DF
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,206 BRUNTSFIELD PLACE,EH10 4DF
restaurant (Scottish),Howies,Class 2,Class 2,Class 3,Class 3,208 BRUNTSFIELD PLACE,EH10 4DE
hairdresser,JFK,Class 1,Vacant,Class 2,Class 1,1 BRUNTSFIELD PLACE,EH10 4HN
vacant,vacant,Class 1,Vacant,Class 1,Vacant,2 BRUNTSFIELD PLACE,EH10 4HN
restaurant (Chinese),Lee-On,Class 3,Class 3,Class 3,Class 3,4-5 BRUNTSFIELD PLACE,EH10 4HN
charity shop,Thrift Shop (Family Care),Class 1,Class 1,Class 1,Class 1,6 BRUNTSFIELD PLACE,EH10 4HN
porttrait & wedding photography,Inspire,Class 1,Class 1,Class 1,Class 2,7 BRUNTSFIELD PLACE,EH10 4HN
beauty salon,Zen Lifestyle,Class 1,Class 1,Class 1,Class 1,9 BRUNTSFIELD PLACE,EH10 4HN
hairdresser,Riva Hair Design,Class 1,Class 1,Class 1,Class 1,10 BRUNTSFIELD PLACE,EH10 4HN
"hi-fi equipment, televisions",Bang & Olufsen / Patersons of Stockbridge,Vacant,Vacant,Class 1,Class 1,11 BRUNTSFIELD PLACE,EH10 4HN
antiques,Young Antiques,,Class 1,Class 1,Class 1,12 BRUNTSFIELD PLACE,EH10 4HN
sports equipment & clothing,Snowlines / Footworks,Class 1,Class 1,Class 1,Class 1,14-17 BRUNTSFIELD PLACE,EH10 4HN
ladies clothes,Miss Dixiebelle,Class 1,Class 1,Class 1,Class 1,19 BRUNTSFIELD PLACE,EH10 4HN
baker,Breadwinner / Stromboli,Class 1,Class 1,Class 1,Class 1,20 BRUNTSFIELD PLACE,EH10 4HN
vacant,vacant,Class 1,Vacant,Class 1,Vacant,22 BRUNTSFIELD PLACE,EH10 4HN
hairdresser,Kilmour Thomson,Class 1,Class 1,Class 1,Class 1,23 BRUNTSFIELD PLACE,EH10 4HN
bicycles,Velo Ecosse,Class 1,Class 1,Class 1,Class 1,25-27 BRUNTSFIELD PLACE,EH10 4HJ
bicycles (storgage),Velo Ecosse,Class 1,Class 1,Class 1,Class 1,28 BRUNTSFIELD PLACE,EH10 4HJ
antiques,Harlequin Antiques,Class 1,Class 1,Class 1,Class 1,30 BRUNTSFIELD PLACE,EH10 4HJ
mens clothing & kilt hire,Davison Kilt Hire & Sales,,,Class 1,Class 1,31-33 BRUNTSFIELD PLACE,EH10 4HJ
pets & pet supplies,Hill Lord & Co.,Class 1,Class 1,Class 1,Class 1,35 BRUNTSFIELD PLACE,EH10 4HJ
residential letting agency,Accomodate Edinburgh,Class 1,Class 1,Class 2,Class 2,36 BRUNTSFIELD PLACE,EH10 4HJ
"stationery, printing & copying",Scotsec,Class 4,Class 4,Class 1,Class 1,37 BRUNTSFIELD PLACE,EH10 4HJ
fabrics,The Dress Fabric Company,Class 2,Class 2,Class 2,Class 1,38 BRUNTSFIELD PLACE,EH10 4HJ
restaurant (Thai),Thai Lemongrass Restaurant,Class 3,SUI GENERIS,Class 3,Class 3,40-41 BRUNTSFIELD PLACE,EH10 4HJ
chiropractor,Bruntsfield Chiropractic Clinic,Vacant,Class 2,Class 1,Class 2,43 BRUNTSFIELD PLACE,EH10 4HJ
"computers, computer accessories & repairs",Ideal Computing,Class 4,Class 1,Class 1,Class 1,78 BRUNTSFIELD PLACE,EH10 4HG
hot food take-away (Chinese),Wok Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,80 BRUNTSFIELD PLACE,EH10 4HG
"greeting cards, prints, posters, picture framing",Framers,Class 1,Class 1,Class 1,Class 1,81 BRUNTSFIELD PLACE,EH10 4HG
beauty salon,Frenchy's,Vacant,Class 1,Class 1,Class 1,83 BRUNTSFIELD PLACE,EH10 4HG
hot food take-away (Italian),Italian Connection,Class 3,SUI GENERIS,SUI GENERIS,SUI GENERIS,84 BRUNTSFIELD PLACE,EH10 4HG
"clothing alterations and repairs, dressmaking, tailoring",Stitches,,,Class 1,Class 1,85-86 BRUNTSFIELD PLACE,EH10 4HG
hairdresser,Hair Tech,Class 1,Class 1,Class 1,Class 1,17 BRYCE ROAD,EH14 5LT
hot food take-away (Chinese),Sun Luk,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,56 BRYCE ROAD,EH14 5LD
optitions,Clear Vue,Class 1,Class 1,Class 1,Class 1,60 BRYCE ROAD,EH14 5LD
grocer,Shop'n'Save,Class 1,Class 1,Class 1,Class 1,1-3 BRYSON ROAD,EH11 1ED
dwelling,dwelling,Class 4,Class 4,Class 9,Class 9,,
kilts,Nicolson Highlandwear,Class 1,Class 1,Class 1,Class 1,189 CANONGATE,EH8 8BN
vacant,vacant,Vacant,Vacant,Vacant,Vacant,193 CANONGATE,EH8 8BN
"coffee shop, confectionery",Fudge House of Edinburgh,Class 3,Class 3,Class 3,Class 3,197 CANONGATE,EH8 8BN
hot food take-away,Fresco,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,223 CANONGATE,EH8 8BJ
ice cream,Ottivio's,Vacant,Class 1,Class 1,Class 1,229 CANONGATE,EH8 8BJ
cafÚ (turkish),CafÚ Truva,Class 1,Class 1,Class 1,Class 3,251-253 CANONGATE,EH8 8BQ
coffee shop,Has Beans Coffee House,,,Class 3,Class 3,261 CANONGATE,EH8 8BQ
hand made soaps,The Edinburgh Soap Company,,,Vacant,Class 1,263 CANONGATE,EH8 8BQ
restaurant,Wedgewood,Class 1,Class 3,Class 3,Class 3,267 CANONGATE,EH8 8BQ
belly dancing & middle eastern goods,Hilary's Bazzaar,Class 1,Class 1,Class 1,Class 1,297 CANONGATE,EH8 8BD
grocer,The Scottish Grocer,Vacant,Class 1,Class 1,Class 1,299 CANONGATE,EH8 8BD
musical instruments (bagpipes),Bagpipes Galore,Class 1,Class 1,Class 1,Class 1,82 CANONGATE,EH8 8BZ
musical instruments (organs),Key Player,Class 1,Class 1,Class 1,Class 1,98 CANONGATE,EH8 8DD
record store,Unknown Pleasures,Class 1,Demolished,Class 1,Class 1,110 CANONGATE,EH8 8DD
gifts,The Best Fae Scotland,,,Class 1,Class 1,112 CANONGATE,EH8 8DD
cafe,Starbucks,,,Vacant,Class 3,116-118 CANONGATE,EH8 8DD
cafÚ,Cafe Vivo,,,Class 3,Class 3,136 CANONGATE,EH8 8DD
"gifts, curios, jewellery",The Wyrd Shop,Class 1,Class 1,Class 1,Class 1,154 CANONGATE,EH8 8DD
clothing (t-shirts & sweaters),Fantastic Scotland,Class 1,Class 1,Class 1,Class 1,156 CANONGATE,EH8 8DD
tea room & cafÚ,Lazy Loham's Bistro,Class 1,Class 3,Class 3,Class 3,158 CANONGATE,EH8 8DD
hot food take-away,Bene's Fish & Chips,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,162 CANONGATE,EH8 8DD
"knitwear, crafts",Celtic Knitwear & Crafts,Class 1,Class 1,Class 1,Class 1,164 CANONGATE,EH8 8DD
"knitwear, crafts",Celtic Knitwear & Crafts,Class 1,Class 1,Class 1,Class 1,166 CANONGATE,EH8 8DD
"gifts, souvenirs",Simply Scottish,Vacant,Class 1,Class 1,Class 1,168 CANONGATE,EH8 8DF
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,26 BRYSON ROAD,EH11 1DX
cafÚ / take-away food,Kim's Mini Meals,,,Class 3,Class 3,5 BUCCLEUCH STREET,EH8 9JN
"clothing alterations, tailoring, dressmaking",Pan Pan,Class 1,Class 1,Class 1,Class 1,29-31 BUCCLEUCH STREET,EH8 9LT
speciality cakes,Barbour,Class 1,Class 1,Class 1,Class 1,35 BUCCLEUCH STREET,EH8 9LT
hair & beauty,Hair Joy,Class 4,Class 1,Vacant,Class 1,37 BUCCLEUCH STREET,EH8 9LT
dwelling,dwelling,,,Class 2,Class 9,,
restaurant (Indian),Kings Balti,,,Class 3,Class 3,79 BUCCLEUCH STREET,EH8 9LS
public house,Dagda,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,93-95 BUCCLEUCH STREET,EH8 9NG
restaurant (Indian),Manna Mahal,Class 3,Class 3,Class 3,Class 3,111-113 BUCCLEUCH STREET,EH8 9NG
cafÚ,Brazillian Sensation,Vacant,SUI GENERIS,Class 3,Class 3,117-119 BUCCLEUCH STREET,EH8 9NG
advice office,Multicultural Advice & Information Service,Vacant,Class 1,Class 2,Class 2,137 BUCCLEUCH STREET,EH8 9NE
hairdresser,Violet's Hair Stylists,Class 1,Class 1,Class 1,Class 1,143 BUCCLEUCH STREET,EH8 9NE
ethnic community office,Pakistan Society of Edinburgh,Class 4,Class 2,Class 2,Class 2,145 BUCCLEUCH STREET,EH8 9NE
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,,
non-commercial,non-commercial,Class 1,Class 2,Vacant,Demolished,,
cafe,Press Coffee,Vacant,Vacant,Class 1,Class 3,30 BUCCLEUCH STREET,EH8 9LP
hot food take-away (Chinese),Ong Gie,Vacant,Vacant,SUI GENERIS,SUI GENERIS,36 BUCCLEUCH STREET,EH8 9LP
office (interior design),Rough Design Partnership,Class 3,Class 2,Class 4,Class 4,38 BUCCLEUCH STREET,EH8 9LP
public house,Meadow Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,42-44 BUCCLEUCH STREET,EH8 9LP
cafe,Snax Cafe,Class 1,Class 3,Vacant,Class 3,118 BUCCLEUCH STREET,EH8 9NQ
vacant,vacant,Class 1,Class 1,Vacant,Vacant,124 BUCCLEUCH STREET,EH8 9NQ
electrical contractors,John Redpath,Class 4,Class 4,Class 4,Class 4,1 BUCHANAN STREET,EH6 8SJ
community development office,Pilmeny Development Project,,,Class 2,Class 2,19/21 BUCHANAN STREET,EH6 8SQ
public house,The Tourmalet,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,25 BUCHANAN STREET,EH6 8SQ
vacant,vacant,Vacant,UNKNOWN USE,Class 4,Vacant,28 BUCHANAN STREET,EH6 8RE
restaurant,Tusitala Pavilion,,,Class 3,Class 3,47 BUCKSTONE TERRACE,EH10 6QR
bank,Bank of Scotland (HBOS),Class 2,Class 2,Class 2,Class 2,2 BUCKSTONE TERRACE,EH10 6PZ
n/t/c,Buckstone Newsagent,Class 1,Class 1,Class 1,Class 1,4 BUCKSTONE TERRACE,EH10 6PZ
solicitors,Allingham & Co. Solicitors,Class 2,Class 2,Class 2,Class 2,4A BUCKSTONE TERRACE,EH10 6PZ
post office,Buckstone Terrace Post Office,Class 1,Class 1,Class 1,Class 1,8 BUCKSTONE TERRACE,EH10 6PZ
hairdresser,Headturner,Class 1,Class 1,Class 1,Class 1,8A BUCKSTONE TERRACE,EH10 6PZ
baker,Breadstix,Class 1,Class 1,Class 1,Class 1,10 BUCKSTONE TERRACE,EH10 6PZ
chemist,Boots,Class 1,Class 1,Class 1,Class 1,10A BUCKSTONE TERRACE,EH10 6PZ
footwear - childrens,Maddie & Mark's Shoes,Class 1,Class 1,Class 1,Class 1,14 BUCKSTONE TERRACE,EH10 6PZ
cafÚ,Gillespies,Class 1,Class 1,Class 1,Class 3,16 BUCKSTONE TERRACE,EH10 6PZ
wine merchant,Majestic Wine Warehouse,,,Class 1,Class 1,26-34 BUCKSTONE TERRACE,EH10 6QB
demolished,demolished,Vacant,Class 2,Vacant,Demolished,,
demolished,demolished,Class 1,Class 1,Class 1,Demolished,,
demolished,demolished,Class 1,Class 1,Class 1,Demolished,,
demolished,demolished,Class 1,Class 1,Class 1,Demolished,,
petrol filling station & shop,BP Connect,,,Class 1,Class 1,(1) BUILYEON ROAD,
restaurant & hot food take-away,McDonalds,,,Class 3,Class 3,6 BUILYEON ROAD,EH30 9YJ
"hot food take-away (Cantonese, Peking, Thai)",Hong Kong,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10 BURDIEHOUSE TERRACE,EH17 8AQ
dwellings,dwellings,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 9,,
bicycles,Leith Cycle Co.,Class 1,Class 1,Class 1,Class 1,1 CADZOW PLACE,EH7 5SN
Computer sales and repairs,Spec Computers,Class 1,Class 1,Class 1,Class 1,3 CADZOW PLACE,EH7 5SN
t.v. & video repairs,Armchair Theatre Video,Class 1,Class 1,Class 1,Class 1,4(01) CADZOW PLACE,EH7 5SN
Ross Motors,Consultation &  Advocacy Promotion Services  Ltd.,Class 1,UNKNOWN USE,UNKNOWN USE,UNKNOWN USE,5 CADZOW PLACE,EH7 5SN
restaurant,Gung Ho,Class 3,Class 3,Class 3,Class 3,7-8 CADZOW PLACE,EH7 5SN
second-hand furniture,Abbey Saleroom,Class 1,Class 1,Class 1,Class 1,9 CADZOW PLACE,EH7 5SN
financial services,Consumer Finance Ltd,Class 1,Class 4,Class 2,Class 2,11 CADZOW PLACE,EH7 5SN
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,12 CADZOW PLACE,EH7 5SN
n/t/c,KB Stores,Class 1,Class 1,Class 1,Class 1,14-15 CADZOW PLACE,EH7 5SN
hot food take-away,Marias CafÚ,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 CADZOW PLACE,EH7 5SN
vacant,vacant,Class 1,Class 1,Class 1,Vacant,18 CADZOW PLACE,EH7 5SN
Solicitor and estate agent,Aikman and Annan,Class 1,Class 1,Class 1,Class 2,19 CADZOW PLACE,EH7 5SN
public house,Station Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,21 CADZOW PLACE,EH7 5SN
grocer / convenience store,Calder Supermarket,,,Class 1,Class 1,2-6 CALDER PARK,EH11 4JN
hot food take-away,Mario's Takeaway,,,Vacant,SUI GENERIS,8 CALDER PARK,EH11 4JN
post office,Calder Crossway Sub Post Office,Class 1,Class 1,Class 1,Class 1,10-12 CALDER PARK,EH11 4JN
hot food take-away,Taste of China,Vacant,Class 1,Class 1,SUI GENERIS,14 CALDER PARK,EH11 4JN
vacant,vacant,Class 1,Class 1,Class 1,Vacant,16 CALDER PARK,EH11 4JN
chemist,Calder Pharmacy (Vantage),Class 1,Class 1,Class 1,Class 1,18 CALDER PARK,EH11 4JN
grocer / convenience store / post office,Scotmid,Class 1,Class 1,Class 1,Class 1,283-289 CALDER ROAD,EH11 4RH
chemist,D. & A. Mackinnon Pharmacy,Class 1,Class 1,Class 1,Class 1,291 CALDER ROAD,EH11 4RH
cafÚ,OZ CafÚ,Class 1,Class 1,Class 3,Class 3,329 CALDER ROAD,EH11 4AH
off license,2c 'Drink and Things',Class 1,Class 1,Class 1,Class 1,331 CALDER ROAD,EH11 4AH
tanning studio,Tan Stand,Class 1,Class 1,Class 11,Class 11,333 CALDER ROAD,EH11 4AH
betting shop,William Hill,,,Class 4,Class 2,335-337 CALDER ROAD,EH11 4AH
vacant,vacant,Class 1,Class 1,Class 1,Vacant,339 CALDER ROAD,EH11 4AH
grocer (lic.),Calder Road Food Store (Premier),,,Class 1,Class 1,341-343 CALDER ROAD,EH11 4AH
hairdresser,Flair Hair and Beauty,Class 1,Class 1,Vacant,Class 1,345 CALDER ROAD,EH11 4AH
grocer / convenience store,Costcutter,Class 1,Class 1,Class 1,Class 1,483 CALDER ROAD,EH11 4AW
chemist,Lloyds Pharmacy,Class 1,Class 1,Class 1,Class 1,483A CALDER ROAD,EH11 4AW
public house,Artful Dodger,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,485 CALDER ROAD,EH11 4AW
hot food take-away,Royal China,Vacant,Vacant,SUI GENERIS,SUI GENERIS,487 CALDER ROAD,EH11 4AW
hot food take-away,Aldos Takeaway,Vacant,Vacant,SUI GENERIS,SUI GENERIS,487A CALDER ROAD,EH11 4AW
hot food take-away (Chinese),Golden Shell,Vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,489 CALDER ROAD,EH11 4AW
