Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed
0,Sheffield Extra,4,18991230,309,Confirmed by tram team (28/01/08),CEC,Leith Walk,Black,,Y,326625,675262,
0,Sheffield Extra,4,18991230,310,Shown on tram drawing but not there now,CEC,,Black,,?,326517,675081,
0,Sheffield Extra,2,18991230,311,Shown on tram drawing but not there now,CEC,,Black,,?,326529,675068,
0,Sheffield Extra,4,18991230,312,Shown in tram drawing but not there now,CEC,,Black,,?,326497,675021,
0,Sheffield Extra,4,18991230,313,,CEC,,Black,,Y,326187,674643,
0,Sheffield Extra,2,18991230,314,,CEC,,Black,,Y,326832,675669,
0,Sheffield Extra,4,18991230,315,,CEC,Leith Walk,Black,,Y,326750,675508,
0,Sheffield,22,18991230,316,,NHS,Western General - Unit?,,,Y,322865,675021,
0,Sheffield,20,18991230,317,Check No.,NHS,Western General - Unit?,,,Y,322855,674971,
0,Sheffield,18,18991230,318,Check No. and exact location,NHS Lothian,Western General - Unit?,,,Y,322874,675079,
0,Sheffield Extra,16,18991230,319,,NHS Lothian,Western General,,,Y,323080,675191,
0,Sheffield,18,18991230,320,,NHS,WGH - Alexander Donald building,Blue paint,,Y,322922,675076,
0,Sheffield,22,18991230,321,,NHS,WGH - Alexander Donald Building,Blue paint,,Y,322925,675061,
0,Cage and Sheffield loops,32,18991230,322,Check no.,NHS Lothian,,,,N,322974,675076,
0,Sheffield,20,18991230,323,Check No. and location,NHS Lothian,Western General,,,Y,323080,675086,
0,Bespoke,22,18991230,324,,Property owner,Student flats,Stainless steel,,Y,325317,672808,
0,Sheffield,8,18991230,325,,,Quartermile,Stainless Steel,,Y,325604,672932,
0,Sheffield Extra,4,18991230,326,,CEC,,Black,,Y,326494,676456,
0,Sheffield Extra,2,18991230,327,,CEC,Great Junction Street shops,Black,,Y,326718,676167,
0,Sheffield Extra,2,18991230,328,,CEC,Great Junction Street,Black,,Y,326676,676217,
0,Sheffield Extra,2,18991230,329,,CEC,,Black,,Y,326647,676251,
0,Sheffield Extra,4,18991230,330,,CEC,,Black,,Y,326520,676478,
0,Sheffield Extra,2,18991230,331,Check No.,CEC,,Black,,Y,326151,674495,
0,Sheffield Extra,4,18991230,332,,CEC,,,,Y,330626,673822,
0,Sheffield Extra,4,18991230,333,,CEC,,Black,,Y,330440,673968,
0,Sheffield,8,18991230,334,,,Office,Stainless steel,,Y,0,0,18991230
0,Sheffield,4,18991230,335,,,,Stainless steel,,Y,0,0,18991230
0,Sheffield Extra,2,18991230,336,,,,,Stainless Steel,Y,0,0,18991230
0,Sheffield Extra,2,18991230,337,,,,,Stainless Steel,Y,0,0,18991230
0,Sheffield,6,18991230,338,Covered,NHS Lothian,,,,Y,0,0,18991230
0,Sheffield,8,18991230,339,,NHS Lothian,,,,Y,0,0,18991230
0,Sheffield,6,18991230,340,Covered,NHS Lothian,,,,Y,0,0,18991230
0,Wheel-bender,20,18991230,341,Caged,NHS Lothian,,,,N,0,0,18991230
0,Sheffield,8,18991230,342,,NHS Lothian,,,,Y,0,0,18991230
0,Sheffield,10,18991230,343,,,,,,Y,0,0,18991230
0,Sheffield,10,18991230,344,Caged,,,,,N,0,0,18991230
0,Sheffield Extra,12,01/10/2010,345,,,Usher Hall,Stainless steel,,Y,0,0,18991230
0,Sheffield Extra,4,01/08/2010,346,,CEC,Glenogle Baths,Stainless steel,,Y,0,0,18991230
0,Sheffield Extra,8,01/08/2010,347,,CEC,Glenogle Baths,Stainless steel,,Y,0,0,18991230
