"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
Annfield,Newhaven,"Great Michael Rise","End of cul de sac",75.71,1B,P026_Trinity
Annfield,Newhaven,"Great Michael Rise","Newhaven Main Street",122.3,1B,P026_Trinity
"Antigua Street",Albion,"Baxter's Place","Union Street",61.5,1B,"P025_Leith Route"
"Antigua Street",Albion,"Gayfield Square","Elm Row",57.21,1B,"P025_Leith Route"
"Arboretum Avenue",Stockbridge,"Inverleith Terrace","St Bernard's Row",374.9,1B,P027_Stockbridge
"Arboretum Place",Inverleith,"Inverleith Terrace","Cycle Track-Inverleith Pk",218.5,1B,P026_Trinity
"Arboretum Place",Inverleith,"Cycle Track-Inverleith Pk","Inverleith Place",249.5,1B,P026_Trinity
"Arboretum Road",Inverleith,"Kinnear Road","Ferry Road",257.9,1B,P026_Trinity
"Arboretum Road",Inverleith,"Arboretum Place","Kinnear Road",207.9,1B,P026_Trinity
"Ardmillan Terrace",Gorgie,"Harrison Road","Ardmillan Terrace Lane",130.3,1B,P029_Gorgie_Slatefor
"Ardmillan Terrace",Gorgie,"Ardmillan Terrace Lane","Dalry Road",87.81,1B,P029_Gorgie_Slatefor
"Argyle Place",Bruntsfield,"Argyle Park Terrace","Melville Drive",33.17,1B,P018_Sciennes_Newing
"Argyle Place",Bruntsfield,"Roseneath Terrace","Argyle Park Terrace",79.04,1B,P018_Sciennes_Newing
"Argyle Place",Bruntsfield,"Sciennes Road","Roseneath Terrace",85.28,1B,P018_Sciennes_Newing
"Ashburnham Road","South Queensferry","Station Road","Ashburnham Road",75.24,1B,"P015_South Queensfer"
"Ashburnham Road","South Queensferry","Ashburnham Road","Dundas Avenue",102.1,1B,"P015_South Queensfer"
"Ashley Terrace",Polwarth,"Gray's Loan","End of cul de sac",61.85,1B,P017_Morningside_Bru
"Ashley Terrace",Polwarth,"Cowan Road","Ashley Drive",112.4,1B,P017_Morningside_Bru
"Ashley Terrace",Polwarth,"Shaftesbury Park","Cowan Road",121.8,1B,P017_Morningside_Bru
"Ashley Terrace",Polwarth,"Shandon Place","Shaftesbury Park",75.69,1B,P017_Morningside_Bru
"Ashley Terrace",Polwarth,"Ashley Drive","End of cul de sac",27.66,1B,P017_Morningside_Bru
"Atholl Place","New Town","Manor Place","Torphichen Street",57.01,1A,P001_CityCentreNorth
"Atholl Place","New Town","Atholl Crescent Lane","Manor Place",31.4,1A,P001_CityCentreNorth
"Baberton Avenue","Juniper Green","Baberton Park","Lanark Road",56.44,1A,P008_Currie
"Baberton Avenue","Juniper Green","Woodhall Terrace","Juniper Park Road",78.77,1A,P008_Currie
"Baberton Avenue","Juniper Green","Woodhall Terrace","Baberton Park",115.1,1A,P008_Currie
"Baberton Mains Drive","Baberton Mains","Baberton Mains Wood","Baberton Mains Hill",57.86,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Drive","End of cul de sac",65.75,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Wynd","Baberton Mains Park",243.6,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Park","Baberton Mains Wood",91.43,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Hill","Baberton Mains Gardens",113.9,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Drive","Baberton Mains Wynd",278.4,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains View","Baberton Mains Drive",60.12,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Drive","Baberton Mains View",132.8,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Place","Baberton Mains Drive",93.15,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Terrace","Baberton Mains Place",100.7,1B,P011_Wester_Hailes
"Baberton Mains Drive","Baberton Mains","Baberton Mains Gardens","Baberton Mains Terrace",135,1B,P011_Wester_Hailes
"Baberton Mains Loan","Baberton Mains","Baberton Mains Drive","Baberton Mains Court",64.76,1B,P011_Wester_Hailes
"Baberton Mains Loan","Baberton Mains","Baberton Mains Court","Baberton Crescent Link",117.8,1B,P011_Wester_Hailes
"Baberton Mains View","Baberton Mains","Clovenstone Roundabout","City Of Edinburgh Bypass",123.8,1B,P011_Wester_Hailes
"Baberton Mains View","Baberton Mains","City Of Edinburgh Bypass","Baberton Mains Drive",101.8,1B,P011_Wester_Hailes
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Wynd","End of cul de sac",40.79,1B,P011_Wester_Hailes
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Drive","Baberton Mains Bank",53.85,1B,P011_Wester_Hailes
"Baberton Mains Wynd","Baberton Mains","Baberton Mains Bank","Baberton Mains Wynd",43.98,1B,P011_Wester_Hailes
"Baird Road",Ratho/newbridge,"Ratho Park Road","Freelands Road",364.8,1B,P016_Kirk_Newbdg_Rat
"Baker's Place",Stockbridge,"Glanville Place","St Stephen Street",49.42,1B,P027_Stockbridge
"Balfour Place",Bonnington,"Balfour Street","End of cul de sac",86.24,1B,"P025_Leith Route"
"Balfour Street",Bonnington,"Cambridge Gardens","Balfour Place",60.8,1B,"P025_Leith Route"
"Balfour Street",Bonnington,"Cambridge Avenue","Cambridge Gardens",46.62,1B,"P025_Leith Route"
"Balfour Street",Bonnington,"Leith Walk","Cambridge Avenue",123.3,1B,"P025_Leith Route"
"Balgreen Road",Saughtonhall,"Baird Drive","Balgreen Road",67.71,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Gorgie Road","Balgreen Road",41.79,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",148,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",42.8,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Balgreen Road",21.33,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Stevenson Drive",205.2,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Stevenson Drive","Balgreen Road",26.4,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Gorgie Road",45.08,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Saughtonhall Drive","Baird Drive",40.68,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Whitson Road","Balgreen Road",62.45,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Glendevon Road","Saughtonhall Drive",63.13,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Glendevon Park","Glendevon Road",87.12,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Saughtonhall Avenue West","Glendevon Park",48.27,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Glendevon Avenue","Saughtonhall Avenue West",198.3,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Avenue","Glendevon Avenue",171,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"South Beechwood","Balgreen Avenue",48.55,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Corstorphine Road","South Beechwood",61.3,1B,P029_Gorgie_Slatefor
"Balgreen Road",Saughtonhall,"Balgreen Road","Whitson Road",48.27,1B,P029_Gorgie_Slatefor
"Balmwell Avenue",Gracemount,"Captain's Drive","Balmwell Grove",71.26,1A,P003_Liberton
"Balmwell Avenue",Gracemount,"Balmwell Grove","Captain's Row",140.5,1A,P003_Liberton
"Balmwell Avenue",Gracemount,"Captain's Row","Gracemount Drive",63.31,1A,P003_Liberton
"Balmwell Grove",Gracemount,"Gracemount Drive","Balmwell Avenue",183.2,1A,P003_Liberton
"Balmwell Terrace",Gracemount,"Balmwell Terrace","Captain's Drive",99.58,1A,P003_Liberton
"Balmwell Terrace",Gracemount,"Balmwell Terrace","Balmwell Terrace",96.12,1A,P003_Liberton
"Balmwell Terrace",Gracemount,"Howden Hall Road","Balmwell Terrace",51.14,1A,P003_Liberton
"Bangholm Loan",Trinity,"Bangholm Villas","Bangholm Grove",101.8,1B,P026_Trinity
"Bangholm Villas",Trinity,"Warriston Road","Bangholm Loan",61.85,1B,P026_Trinity
"Bank Street","Old Town","St Giles Street","High Street",72.89,1A,P001_CityCentreNorth
"Bankhead Avenue","South Gyle","Bankhead Avenue","Bankhead Loan",72.57,1B,P010_Broomhouse
"Bankhead Avenue","South Gyle","Bankhead Crossway North","Bankhead Avenue",220.3,1B,P010_Broomhouse
"Bankhead Avenue","South Gyle","Bankhead Medway","Bankhead Crossway North",62.65,1B,P010_Broomhouse
"Bankhead Avenue","South Gyle","Bankhead Crossway South","Bankhead Terrace",76.25,1B,P010_Broomhouse
"Bankhead Avenue","South Gyle","Bankhead Terrace","Bankhead Medway",77.19,1B,P010_Broomhouse
"Bankhead Avenue","South Gyle","Bankhead Loan","Bankhead Crossway South",210.6,1B,P010_Broomhouse
"Bankhead Broadway","South Gyle","Bankhead Crossway North","Bankhead Drive",184.1,1B,P010_Broomhouse
"Bankhead Crossway North","South Gyle","Bankhead Place","Bankhead Avenue",161.1,1B,P010_Broomhouse
"Bankhead Crossway North","South Gyle","Bankhead Broadway","Bankhead Place",131.7,1B,P010_Broomhouse
"Bankhead Crossway North","South Gyle","Bankhead Drive","Bankhead Broadway",316.8,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Crossway North","Hermiston Gait",202.8,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Drive","Broomhouse Road",75.43,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Drive","Bankhead Drive",106.6,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Drive","South Gyle Access",191.9,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","South Gyle Access","Bankhead Drive",298.9,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","South Gyle Access","Bankhead Avenue",86.81,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Avenue","South Gyle Access",87.48,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Bankhead Drive","Bankhead Avenue",89.86,1B,P010_Broomhouse
"Bankhead Drive","South Gyle","Hermiston Gait","Bankhead Broadway",326.7,1B,P010_Broomhouse
"Barnton Avenue","Davidsons Mains","East Barnton Avenue","Barnton Park",161.6,1B,P019_DavidsonMains_P
"Barnton Avenue","Davidsons Mains","Barnton Park","Barnton Avenue",41.26,1B,P019_DavidsonMains_P
"Barnton Avenue","Davidsons Mains","Barnton Avenue","Barnton Avenue",34.46,1B,P019_DavidsonMains_P
"Barnton Avenue","Davidsons Mains","Barnton Avenue","Silverknowes Terrace",110.5,1B,P019_DavidsonMains_P
"Bath Street","Portobello West","Straiton Place",Promenade,55.57,1B,P023_Portobello
"Bath Street","Portobello West","Straiton Place","Mentone Avenue",136.1,1B,P023_Portobello
"Bath Street","Portobello West","Mentone Avenue","Bath Street Lane",101,1B,P023_Portobello
"Bath Street","Portobello West","Bath Street Lane","Brighton Place",38.29,1B,P023_Portobello
"Bavelaw Road",Balerno,Oakdale,"Bavelaw Gardens",101.3,1A,P007_Balerno
"Bavelaw Road",Balerno,"Bavelaw Green",Oakdale,183.1,1A,P007_Balerno
"Bavelaw Road",Balerno,"Bavelaw Gardens","Harlaw Road",254.6,1A,P007_Balerno
"Bavelaw Road",Balerno,"Bridge Road","Bavelaw Green",56.98,1A,P007_Balerno
"Baxter's Place",Broughton,Greenside,"Greenside Lane",72.31,1B,"P025_Leith Route"
"Beach Lane","Portobello East","Ramsay Place","Portobello High Street",57.53,1B,P023_Portobello
"Beach Lane","Portobello East","Figgate Bank",Maryfield,68.66,1B,P023_Portobello
"Beach Lane","Portobello East","Figgate Street",Maryfield,43.87,1B,P023_Portobello
"Beaufort Road",Bruntsfield,"Strathearn Road","Palmerston Road",129.5,1B,P017_Morningside_Bru
"Belgrave Road",Corstorphine,"St John's Road","Belgrave Gardens",230.3,1B,P013_Corstorphine
"Belgrave Road",Corstorphine,"Belgrave Gardens","Belgrave Road",51.42,1B,P013_Corstorphine
"Belgrave Road",Corstorphine,"Belgrave Road","Clermiston Road",202.4,1B,P013_Corstorphine
"Bell's Brae",Stockbridge,"Miller Row","Dean Path",18.1,1B,P027_Stockbridge
"Bell's Brae",Stockbridge,"Queensferry Street","Miller Row",176.1,1B,P027_Stockbridge
Bellevue,Broughton,"Bellevue Place","Bellevue Crescent",25.5,1B,"P025_Leith Route"
Bellevue,Broughton,"East Claremont Street","Bellevue Place",97.14,1B,"P025_Leith Route"
Bellevue,Broughton,"Cornwallis Place","East Claremont Street",104.7,1B,"P025_Leith Route"
"Bellevue Place",Broughton,Bellevue,"Bellevue Road",133.1,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"Green Street","Bellevue Grove",92.48,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"Bellevue Grove","West Annandale Street",86.54,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"West Annandale Street","Bellevue Road",94.7,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"Bellevue Road","Mcdonald Place",87.46,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"Mcdonald Place","Mcdonald Road",88.24,1B,"P025_Leith Route"
"Bellevue Road",Broughton,"Bellevue Place","Green Street",72.19,1B,"P025_Leith Route"
"Bernard Street","North Leith",Shore,"Seaport Street",128.5,1B,"P025_Leith Route"
"Bernard Street","North Leith","Seaport Street","Baltic Street",88.55,1B,"P025_Leith Route"
"Bernard Terrace",Newington,"South Clerk Street","St Leonard's Street",187.4,1B,P018_Sciennes_Newing
"Biggar Road",Swanston,"Biggar Road","Buckstone Terrace",46.57,1A,P005_Fairmilehead
"Biggar Road",Swanston,"Biggar Road","Swanston Avenue",154.6,1A,P005_Fairmilehead
"Biggar Road",Swanston,"Swanston Avenue","Swanston Drive",250.2,1A,P005_Fairmilehead
"Bingham Avenue",Bingham,"Mountcastle Drive South","Bingham Crescent",86.2,1B,P021_Duddingston
"Bingham Avenue",Bingham,"Bingham Crescent","Bingham Crossway",137.5,1B,P021_Duddingston
"Bingham Avenue",Bingham,"Bingham Crossway","Duddingston Row",225.7,1B,P021_Duddingston
"Bingham Crescent",Bingham,"Bingham Broadway","Bingham Avenue",63.47,1B,P021_Duddingston
"Bingham Crescent",Bingham,"Bingham Drive","Bingham Broadway",71.93,1B,P021_Duddingston
"Bingham Drive",Bingham,"Mountcastle Drive South","Bingham Crescent",124.7,1B,P021_Duddingston
"Blacket Avenue",Newington,"Blacket Place","Minto Street",126.8,1B,P018_Sciennes_Newing
"Blacket Avenue",Newington,"Dryden Place","Blacket Place",119.9,1B,P018_Sciennes_Newing
"Blacket Avenue",Newington,"Dalkeith Road","Dryden Place",109.6,1B,P018_Sciennes_Newing
"Blackford Avenue",Blackford,"Grange Loan Gardens","Oswald Road",108,1B,P017_Morningside_Bru
