Location,"Reference No",Position
"Belgrave Gardens",12069208,"At lighting column at side of house 35 Gordon Road."
"Belgrave Gardens",11102429,"At lighting column at side of house 36 Belgrave Road."
"Belgrave Road",11102270,"in front of no 1"
"Belhaven Place",17403887,"Outside number 1."
"Bell Place",9019821,"At lighting column in front of house 1 at junction with Glenogle Rd."
"Bell's Brae",17406941,"beside no 6"
"Bell's Brae",11238276,"At foot of street, in recess about 20 metres up from lighting column BKJ03."
"Bellenden Gardens",17403884,"Opposite 14."
"Bellfield Lane",17403890,"Opposite 10."
"Belmont Crescent",13096641,"At lighting column at junction with Belmont Terrace on opposite side of road to 6 Belmont Crescent."
"Belmont Gardens",13096566,"At lighting column in front of house 31."
"Belmont Gardens",13096500,"At lighting column in front of house 30."
"Belmont Gardens",17403896,"Against stone wall in front of house 15."
"Belmont Road",17403899,"At Juniper Grove."
"Belmont Terrace",13096794,"At 12."
"Biggar Road",17403905,"Cul-de-sac just south of by-pass, opposite houses 70 & 72."
"Biggar Road",12183703,"Cul-de-sac just south of by-pass, outside house 82."
"Biggar Road",17403902,"At Fairmilehead junction in front of shops (newsagent) and beside traffic light control box."
"Bingham Crescent",10987559,"by no 33"
"Blackchapel Close",17403911,"Opposite house 68."
"Blackchapel Close",17403908,"Opposite house 5."
"Blackford Avenue",17403917,"At Grange Loan."
"Blackford Avenue",12740626,"On footway outside house 39."
"Blackford Avenue",12760594,"At lighting column on triangular island on north side of junction with Charterhall Rd."
"Blackford Bank",12132916,"to side of no 2"
"Blackford Bank",12132964,"Opposite 17."
"Blackford Hill Grove",12761629,"At lighting column at 27."
"Blackford Hill Grove",12761959,"At lighting column at top of footpath and steps between 10 and 12."
"Blackford Hill Grove",12762073,"At lighting column at top of footpath and steps between 16 and 18."
"Blackford Hill Grove",12762178,"At lighting column at top of footpath and steps between 4 and 6."
"Blackford Hill Rise",12761755,"At Post Office collection box, side of 1 Blackford Hill Grove."
"Blackford Hill View",12761884,"At lighting column at top of footpath and steps between 10 and 12."
"Blackford Hill View",12761803,"At lighting column BMM01 at house 1."
"Blackie Road",17407799,"Near Claremont Road by lighting column BMS08."
"Blackthorn Court",17403921,"Outside number 12, near litter bin."
Blandfield,17406583,"Opposite 127."
Bleachfield,17406586,"Outside house 44."
"Blinkbonny Crescent",10980521,"Opposite house 21."
"Blinkbonny Grove",17403924,"At lighting column in front of house 10 in cul-de-sac."
"Blinkbonny Grove West",12064078,"Against metal fence at top of cul-de-sac near house 6 and footway to Queensferry Road."
"Blinkbonny Road - Currie",17403927,"At Braeburn Drive."
"Blinkbonny Road - Currie",17406592,"Located approximately half-way up road."
"Blinkbonny Road - Currie",17406589,"At top end of road."
"Blinkbonny Village",17406595,"Beside letter box in front of house 17."
"Boat Green",17403930,"Outside block 1, off Warriston Road."
"Bonaly Brae",13216843,"At foot of lighting column at junction with Bonaly Grove."
"Bonaly Drive",12276640,"in front of no 9"
"Bonaly Grove",12275977,"Opposite 6."
"Bonaly Rise",17403933,"At corner of 143."
"Bonaly Rise",13216372,"Against wall on corner opp lighting column and houses 49 and 51."
"Bonaly Rise",12276142,"On wide footway at side of 94 Bonaly Grove."
"Bonaly Road",17407365,"At 63."
"Bonaly Road",12275917,"by no 67."
"Bonaly Road",17403936,"At Torduff Road."
"Bonaly Steading",17442470,"At 5."
"Bonaly Wester",17407368,"At 69."
"Bonaly Wester",17403942,"At lighting column BPL3, outside 3z."
"Bonaly Wester",17403939,"At gable end of 23."
"Bonnington Avenue",17403948,"At 5."
"Bonnington Road Lane",17407018,"beside entrance to no 14, near streetlight BPK04"
"Bonnington Road, Wilkieston",231,"(2 bins)."
"Bothwell Street",12251542,"Against metal railings at far end of street beside bridge over railway."
"Bowmont Place",17403951,"At lighting column BGW3."
"Brae Park Road",13250551,"at junction of Brae Park Road and Craufurdland, by streetlight CRF01"
"Braehead Avenue",17407865,"At 48 Braehead Road."
"Braehead Avenue",9711166,"At houses 16 to 18."
"Braehead Crescent",9712510,"Opp 16 and lighting BRY07."
"Braehead Crescent",9712414,"At lighting column 2 in cul-de-sac."
"Braehead Drive",9711790,"Outside 7, by lighting BSC12."
"Braehead Drive",9712012,"At lighting column opposite end of Braehead Avenue."
"Braehead Grove",9711502,"At lighting column in front of house 2 Braehead Loan."
"Braehead Park",9711577,"At side of driveway to No 8"
"Braehead Road",17407822,"At 51."
"Braepark Road",17403954,"Near lighting column BSK4 on verge behind kerb."
"Braid Avenue",17403963,"At Cluny Drive."
"Braid Avenue",17403960,"At Hermitage Drive."
"Braid Avenue",17403957,"At Corrennie Drive."
"Braid Crescent",17403966,"Opposite house 30 at top of steps."
"Braid Hills Approach",12132085,"in front of no 7"
"Braid Hills Approach",17403970,"Outside house 4."
"Braid Hills Avenue",12764914,"between nos 1 and 2"
"Braid Hills Road",17403976,"At lighting column at house 6."
"Braid Hills Road",17403973,"At Pentland Terrace."
"Braid Mount",12131926,"At lighting column at house 10."
"Braid Mount Crest",12132538,"Against wall at top of cul-de-sac."
"Braid Mount Rise",12132487,"Against wall in corner behind lighting column at top of  cul-de-sac."
"Braid Mount View",12132583,"At lighting column at house 2."
"Braid Road",12132778,"in front of no 214a"
"Braid Road",17403982,"At Comiston Terrace."
"Braid Road",17403979,"At Cluny Drive at church centre."
"Bramble Drive",17403985,"On corner at lighting column BTD09."
"Bramble Drive",12783860,"At lighting column BTD07."
"Bramdean Rise",17403988,"At Bramdean Grove."
"Brand Drive",17407814,"At corner near 12."
"Brandfield Street",17407227,"At 2."
"Brandon Street",17442530,"Opposite 12."
"Bridge Road",10811693,"Outside Police Station, by lighting 14KM."
"Bridge Road, Colinton",8874246,"Against railings beside telephone kiosk at Spylaw Street."
"Bridge Street, Newbridge",17403991,"East end of village, just before little pathway leading to Edinburgh Road."
"Briery Bauks",12129040,"Opposite 1."
"Brighouse Park Court",17403994,"Outside house 3."
"Broomhall Avenue",11226714,"Opposite house 6."
"Broomhall Drive",17524654,"Outside No 10"
"Broomhall Drive",11089547,"in front of no 57, at junction with Broomhall Road"
"Broomhall Drive",9770123,"Hard-standing at bus shelter. Outside 36."
"Broomhall Road",17403997,"On edge of kerb in lay-by in front of shops and beside litter bin (opp end of Broomhall Pl)."
"Broomhouse Avenue",9003021,"At lighting column BVE2."
"Broomhouse Crescent",17404000,"At lay-by opposite Broomhouse Centre opposite junction with Broomhouse Medway."
"Broomhouse Drive",17407685,"At 20."
"Broomhouse Place North",17407371,"In lay-by at shops."
"Broomhouse Road",10907774,"At lighting column on west side opposite house 257 at junction with Bankhead Drive."
"Broomhouse Road",17404003,"At junction with Calder Rd service road against wall in corner at top of access ramp to subway opposite 370 Calder Road."
Broomyknowe,12051013,"in front of no 16"
"Brown street",12128929,"facing Kirk O'Field Parish church"
"Brown Street",17407242,"Adjacent to lighting column BXC09."
"Brunstane Crescent",17404006,"Opposite 31."
"Brunstane Road North",11158637,"in front of St Philip's Parish Church"
"Brunton Place",17404009,"At 9, at side steps to surgery."
"Bruntsfield Crescent",17442536,"Near steps opposite 12."
"Bryce Crescent",17406817,"in front of no 50 by junction of Bryce Crescent and Easter Currie Terrace"
